Initial ERD Fields,Updated ERD Fields,Merged ERD Fields,Field LightBox Data,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
basementsize,base_rent_per_mo,audit_log_id,Assessment_otherassessment,,Cross Street,
basementuseandfinish,base_rent_per_year,authority,Assessment_specialassessments,,Days On Market,
baserentpermo,base_rent_sf,average_daily_rate,Assessment_taxes,,Developer Name,
baserentperyear,base_rent_sf_mo,avg_asking_rent_sf,Assessment_taxesperacre,,Direct Available Space,
baserentsf,base_taxes,avg_cap_rate,Assessment_taxespergbam2,Sales_caprate,Direct Services,
baserentsfmo,basement_size,avg_mf_unit_size,Assessment_taxesperhectares,Unit Lease Summary_avgmfunitsize,Direct Vacant Space,
baths,basement_use_and_finish,back_yard_distance,Assessment_taxesperlandm2,,Drive Ins,
bedrooms,book_page_or_ref_doc,base_rent_per_mo,Assessment_taxesperlandsf,Rent Roll_baserentpermo,Energy Star,
beds,boundary_comments,base_rent_per_year,Assessment_taxesperlandunit,Rent Roll_baserentperyear,Exp Year,
bookpageorrefdoc,buildable_sf,base_rent_sf,Assessment_taxesperra,,Features,
buildablesf,building_amenities,base_rent_sf_mo,Assessment_taxesperram2,,Fema Flood Zone,
buildingclass,building_class,base_taxes,Assessment_taxespersfgba,Assessment_basetaxes,FEMA Map Date,
buildingdescription,building_condition,basement_size,Assessment_taxesperunit,Improvement_basementsize,FEMA Map Identifier,
businessvalueadjustment,building_description,basement_use_and_finish,Assessment_taxid,Improvement_basementuseandfinish,FIRM ID,
buyertype,building_features,baths,Assessment_taxingauthority,Unit Lease_baths,FIRM Panel Number,
caprate,building_quality,bedrooms,Assessment_taxrate,Unit Lease_bedrooms,Flood Risk Area,
category,business_value_adjustment,beds,Assessment_taxratecode,Unit Lease_beds,Floodplain Area,
cbsa_id,buyer_type,book_page_or_ref_doc,Assessment_taxrateper,Sales_bookpageorrefdoc,For Sale Price,
cbsa_name,cap_rate,boundary_comments,Assessment_taxyear,,For Sale Status,
ceilingheight,care_type_comments,buildable_sf,Assessment_totalassessment,,Fund Name,
censusblock,ceiling_height,building_amenities,Improvement_adr,,Gas,
censustract,clean_up_costs,building_class,Improvement_amenities,Improvement_buildingclass,Heating,
city,clear_height,building_condition,Improvement_ancillarybuildings,,In SFHA,
cleanupcosts,client_name,building_description,Improvement_basementsize,Improvement_BuildingDescription,Land Area (AC),
clearheight,column_spacing,building_features,Improvement_basementuseandfinish,,Land Area (SF),
client_name,comm_lease_comments,building_quality,Improvement_buildingclass,,Last Sale Date,
columnspacing,comm_lease_notes,business_value_adjustment,Improvement_BuildingDescription,Sales_businessvalueadjustment,Last Sale Price,
comments,comm_lease_survey_date,buyer_type,Improvement_ceilingheight,Sales_buyertype,Latitude,
commercial_survey_id,comm_lease_terms,cap_rate,Improvement_clearheight,Sales_toscaprate,Leasing Company Address,
commleasecomments,comm_lease_type,care_type_comments,Improvement_columnspacing,Unit Lease Summary_shcaretypecomments,Leasing Company City State Zip,
commleasenotes,comm_rent_concessions,category,Improvement_condition,,Leasing Company Contact,
commleasesurveydate,comm_rent_per_sf_max,cbsa_id,Improvement_construction,Parcel_cbsa_id,Leasing Company Fax,
commleaseterms,comm_rent_per_sf_min,cbsa_name,Improvement_constructionclass,Parcel_cbsa_name,Leasing Company Name,
commleasetype,comm_size_max,ceiling_height,Improvement_cooling,Improvement_ceilingheight,Leasing Company Phone,
commrentconcessions,comm_size_min,censusblock,Improvement_coveredparkingspaces,Parcel_censusblock,LEED Certified,
commrentpersfmax,comm_vacancy_rate,censustract,Improvement_craneways,Parcel_censustract,Longitude,
commrentpersfmin,comm_verification_source,city,Improvement_deferredmaintance,Parcel_city,Market Name,
commsizemax,commercial_survey_id,clean_up_costs,Improvement_designappeal,Sales_cleanupcosts,Max Building Contiguous Space,
commsizemin,community_fee_max,clear_height,Improvement_docks,Improvement_clearheight,Max Floor Contiguous Space,
communityfeemax,community_fee_min,client_name,Improvement_effectiveage,,Month Built,
communityfeemin,condition_id,column_spacing,Improvement_exteriorwall,Improvement_columnspacing,Month Renovated,
commvacancy,conditions_of_sale,comm_lease_comments,Improvement_features,Rent Roll Summary_commleasecomments,Number Of Cranes,
commverificationsource,conditions_of_sale_adjustment,comm_lease_notes,Improvement_ffande,Rent Roll Summary_commleasenotes,Number Of Elevators,
concessions,construction_class,comm_lease_survey_date,Improvement_fireplaceorwoodstove,Rent Roll Summary_commleasesurveydate,Number Of Loading Docks,
condition,construction_type,comm_lease_terms,Improvement_foundation,Rent Roll Summary_commleaseterms,Number Of Parking Spaces,
conditionid,contract_rent_max,comm_lease_type,Improvement_garage,Rent Roll Summary_CommLeaseType,Number Of Stories,
conditionsofsale,contract_rent_min,comm_rent_concessions,Improvement_garageparkingspaces,Rent Roll Summary_commrentconcessions,Office Space,
conditionsofsaleadjustment,cooling_id,comm_rent_per_sf_max,Improvement_gbaindustrial,,Operation Type,
confidential,cooling_type,comm_rent_per_sf_min,Improvement_gbaindustrialmeters,,Operational Status,
construction,corner,comm_size_max,Improvement_gbamultifamily,,Ops Expense,
constructionclass,costs_to_finish,comm_size_min,Improvement_gbamultifamilymeters,,Ops Expense Per SF,
contractrentmax,covered_parking_spaces,comm_vacancy_rate,Improvement_gbaoffice,,Owner Address,
contractrentmin,created_at,comm_verification_source,Improvement_gbaofficemeters,Sales_verificationsource,Owner City State Zip,
cooling,created_by_user_id,commercial_survey_id,Improvement_gbaother,,Owner Contact,
coolingid,current_list_price,community_fee_max,Improvement_gbaothermeters,Unit Lease_communityfeemax,Owner Name,
corner,current_lp_percent_diff,community_fee_min,Improvement_gbaretail,Unit Lease_communityfeemin,Owner Phone,
coststofinish,current_rent_per_mo,commvacancy,Improvement_gbaretailMeters,Rent Roll Summary_commvacancy,Parcel Number 1(Min),
country,current_use,concessions,Improvement_gbatotal,Rent Roll_concessions,Parcel Number 2(Max),
county,custom_fields,condition_id,Improvement_gbatotalmeters,Improvement_condition,Parent Company,
coveredparkingspaces,daily_rate_per_unit,conditions_of_sale,Improvement_heating,Sales_conditionsofsale,Parking Ratio,
craneways,daily_rate_per_unit_max,conditions_of_sale_adjustment,Improvement_hotelflag,Sales_conditionsofsaleadjustment,Parking Spaces/Unit,
created_at,daily_rate_per_unit_min,confidential,Improvement_improvmentcomments,Sales_confidential,Percent Leased,
created_by_user_id,data_source,construction_class,Improvement_landscaping,Improvement_constructionclass,Power,
createdby,days_on_market,construction_type,Improvement_landtobuildingratio,Improvement_construction,Pre-Leasing,
currentlistprice,deferred_maintenance,contract_rent_max,Improvement_lhoccupancy,Unit Lease_contractrentmax,Primary Agent Name,
currentlppercentdiff,demographics_survey_date,contract_rent_min,Improvement_loadfactor,Unit Lease_contractrentmin,Primary Corridors,
currentrentpermo,depth,cooling_id,Improvement_multifamilyamenities,Improvement_cooling,Property Address,
currentuse,design_appeal,cooling_type,Improvement_noofbathrooms,,Property Location,
dailyrateperunit,diminution_source,corner,Improvement_noofbays,Sites_corner,Property Manager Address,
dailyrateperunitmax,discount_rate,costs_to_finish,Improvement_noofbedrooms,Rent Roll_coststofinish,Property Manager City State Zip,
dailyrateperunitmin,district_name,country,Improvement_noofbeds,Parcel_country,Property Manager Contact,
datasource,district_url,county,Improvement_noofbuildings,Parcel_county,Property Manager Name,
daysonmarket,duration_seconds,covered_parking_spaces,Improvement_noofelevators,Improvement_coveredparkingspaces,Property Manager Phone,
deferredmaintance,earthquake_hazard_risk,craneways,Improvement_noofescalators,Improvement_craneways,Property Name,
demographicssurveydate,earthquake_zone_comments,created_at,Improvement_noofgolfholes,,PropertyID,
depth,east_boundary,created_by_user_id,Improvement_noofhalfbaths,,PropertyType,
designappeal,eff_rent_per_mo,createdby,Improvement_noofindustrialunits,Parcel_createdby,Proposed Land Use,
dimensions,eff_rent_per_year,current_list_price,Improvement_noofmfbathrooms,Sales_currentlistprice,Rail Lines,
diminutionsource,effective_age,current_lp_percent_diff,Improvement_noofmultifamilybedrooms,Sales_currentlppercentdiff,RBA,
discountrate,effective_gross_income_multiplier,current_rent_per_mo,Improvement_noofmultifamilyrooms,Rent Roll_CurrentRentPerMo,Recorded Owner Address,
district,effective_rent_sf,current_use,Improvement_noofmultifamilyunits,Sales_currentuse,Recorded Owner City State Zip,
districtspending,effective_rent_sf_mo,custom_fields,Improvement_noofofficeunits,,Recorded Owner Contact,
districturl,effective_water_frontage,daily_rate_per_unit,Improvement_noofotherunits,Unit Lease_dailyrateperunit,Recorded Owner Name,
docks,encumbrance_or_easement,daily_rate_per_unit_max,Improvement_noofretailunits,Unit Lease_dailyrateperunitmax,Recorded Owner Phone,
drainage,enrollment,daily_rate_per_unit_min,Improvement_noofrooms,Unit Lease_dailyrateperunitmin,Rent Type,
duration_seconds,entry_fee_max,data_source,Improvement_noofseats,Sales_datasource,Rent/SF/Yr,
earthquakehazardrisk,entry_fee_min,days_on_market,Improvement_noofspaces,Sales_daysonmarket,Sale Company Address,
earthquakezonecomments,environmental_concerns,deferred_maintenance,Improvement_noofstories,Improvement_deferredmaintance,Sale Company City State Zip,
eastboundary,environmental_issues,demographics_survey_date,Improvement_nooftruckdoors,Sites_demographicssurveydate,Sale Company Contact,
effectiveage,environmental_remarks,depth,Improvement_nooftruckdoorswithlevelers,Sites_depth,Sale Company Fax,
effectiverentsf,environmental_status,design_appeal,Improvement_noofunits,Improvement_designappeal,Sale Company Name,
effectiverentsfmo,equalization_ratio,dimensions,Improvement_parking,Sites_dimensions,Sale Company Phone,
effectivewaterfrontage,excess_land_adjustment,diminution_source,Improvement_parkingadequacy,Sales_diminutionsource,Sales Company,
effrentpermo,expenditures_after_sale_adjustment,discount_rate,Improvement_parkingcomments,Sales_discountrate,Sales Contact,
effrentperyear,expense_growth_rate,district_name,Improvement_parkingcondition,,Sales Contact Phone,
egim,expense_reimbursements,district_url,Improvement_parkingratiogba,Parcel_districturl,Secondary Type,
encumbranceoreasement,expense_stop,districtspending,Improvement_parkingratiora,Parcel_districtspending,Services,
enrollment,exterior_wall,drainage,Improvement_parkingratiora,Sites_drainage,Sewer,
entryfeemax,exterior_wall_id,duration_seconds,Improvement_parkingratiounit,,Smallest Available Space,
entryfeemin,fema_map_date,earthquake_hazard_risk,Improvement_parkingtype,Sites_earthquakehazardrisk,Sprinklers,
environmentalconcerns,ff_and_e,earthquake_zone_comments,Improvement_percentoffice,Sites_earthquakezonecomments,Star Rating,
environmentalissues,ff_and_e_adjustment,east_boundary,Improvement_percentofficera,Parcel_eastboundary,State,
environmentalremarks,field_changed,eff_rent_per_mo,Improvement_percentretail,Rent Roll_effrentpermo,Style,
environmentalstatus,field_name,eff_rent_per_year,Improvement_perimeter,Rent Roll_effrentperyear,Subcontinent,
escalations,field_value,effective_age,Improvement_porchordeck,Improvement_effectiveage,Sublet Available Space,
excesslandadjustment,financing_terms_adjustment,effective_gross_income_multiplier,Improvement_productsegment,,Sublet Services,
expendituresaftersaleadjustment,financing_type,effective_rent_sf,Improvement_proportionrenovated,,Sublet Vacant Space,
expensegrowthrate,finish_condition,effective_rent_sf_mo,Improvement_quality,Rent Roll_effectiverentsfmo,Submarket Cluster,
expensereimbursements,fireplace_or_woodstove,effective_water_frontage,Improvement_raindustrial,Sites_effectivewaterfrontage,Submarket Name,
expensestop,flood_map_panel,egim,Improvement_raindustrialmeters,Sales_egim,Tax Year,
exteriorwall,flood_zone,encumbrance_or_easement,Improvement_ramultifamily,Sites_encumbranceoreasement,Taxes Per SF,
exteriorwallid,floor_area_ratio,enrollment,Improvement_ramultifamilymeters,Parcel_enrollment,Taxes Total,
far,floor_level,entry_fee_max,Improvement_raoffice,Unit Lease_entryfeemax,Tenancy,
features,foundation_id,entry_fee_min,Improvement_raofficemeters,Unit Lease_entryfeemin,Total Available Space (SF),
femamapdate,foundation_type,environmental_concerns,Improvement_raother,Sales_environmentalconcerns,Total Buildings,
ffande,free_rent_months,environmental_issues,Improvement_raothermeters,Sites_environmentalissues,Total New Space (SF),
ffandeadjustment,front_set_back_distance,environmental_remarks,Improvement_raretailgla,Sales_environmentalremarks,Total Relet Space (SF),
field_changed,garage_parking_spaces,environmental_status,Improvement_raretailmeters,Sales_environmentalstatus,Total Sublet Space (SF),
field_name,garage_type,equalization_ratio,Improvement_ratotal,Assessment_equalizationratio,Total Vacant Avail Relet Space (SF),
field_value,gba_total,escalations,Improvement_ratotalmeters,Rent Roll_escalations,Total Vacant Avail Sublet Space (SF),
financing,gba_total_meters,excess_land_adjustment,Improvement_remainingeconomiclife,Sales_excesslandadjustment,Total Vacant Available,
financingtermsadjustment,geo_code,expenditures_after_sale_adjustment,Improvement_renovations,Sales_expendituresaftersaleadjustment,True Owner Address,
finish,geo_name,expense_growth_rate,Improvement_residentialamenities,Sales_expensegrowthrate,True Owner City State Zip,
finishcondition,geo_type,expense_reimbursements,Improvement_residentialdesign,Rent Roll_expensereimbursements,True Owner Contact,
fireplaceorwoodstove,geography_id,expense_stop,Improvement_revpar,Rent Roll_expensestop,True Owner Name,
floodmappanel,grantee_buyer,exterior_wall,Improvement_roofcover,Improvement_exteriorwall,True Owner Phone,
floodzone,grantor_seller,exterior_wall_id,Improvement_rooftype,,Typical Floor Size,
floor,gross_building_area,far,Improvement_sourceforsfarea,Parcel_far,University,
floorlevel,heating_id,features,Improvement_sprinklers,Improvement_features,Vacancy %,
foundation,heating_type,fema_map_date,Improvement_surfaceparkingspaces,Sites_femamapdate,Water,
foundationid,highest_and_best_use,ff_and_e,Improvement_tenantimprovements,Improvement_ffande,Year Built,
freerentmonths,holding_period_years,ff_and_e_adjustment,Improvement_totaleconomiclife,Sales_ffandeadjustment,Year Renovated,
frontsetbackdistance,home_site_acres,field_changed,Improvement_typicalbaydepth,,Zip,
garage,hotel_flag,field_name,Improvement_usablearea,,Zoning,
garageparkingspaces,hotel_room_rev_multiplier,field_value,Improvement_yearbuilt,,,
gba,id,financing,Improvement_yearbuiltnumeric,Sales_financing,,
gbatotal,implied_value,financing_terms_adjustment,incExp_advertisingandmarketing,Sales_financingtermsadjustment,,
gbatotalmeters,improvement_assessment,financing_type,incExp_annualrent,incExp_financialstype,,
grantee,improvement_comments,finish,incExp_baserentabatement,Rent Roll_finish,,
grantor,improvement_id,finish_condition,incExp_buildingrepairs,Sales_finishcondition,,
gross_building_area,improvement_value,fireplace_or_woodstove,incExp_cam,Improvement_fireplaceorwoodstove,,
heating,improvement_value_per_sf,flood_map_panel,incExp_cleaning,Sites_floodmappanel,,
heatingid,income_growth,flood_zone,incExp_comments,Sites_floodzone,,
highestandbestuse,income_growth_rate,floor,incExp_deductreserves,Unit Lease_floor,,
holdingperiodyears,income_target_percent,floor_area_ratio,incExp_egi,,,
homesiteacres,industrial_gba,floor_level,incExp_egipersf,Rent Roll_floorlevel,,
hotelflag,industrial_ra,foundation_id,incExp_egiperunit,Improvement_foundation,,
hotelroomrevmultiplier,ingestion_timestamp,foundation_type,incExp_electricexpense,,,
id,instance_type,free_rent_months,incExp_ExpensePerSF,Rent Roll_freerentmonths,,
improvement_id,internal_comments,front_set_back_distance,incExp_ExpensePerUnit,,,
improvement_subrecords_ancillarybuildings,is_active,garage_parking_spaces,incExp_expenseratio,Improvement_garageparkingspaces,,
improvement_subrecords_basementsize,is_confidential,garage_type,incExp_expensereimbursements,,,
improvement_subrecords_basementuseandfinish,is_deleted,gba,incExp_expleasingcommissions,,,
improvement_subrecords_buildingclass,is_excel_entry,gba_total,incExp_exptenantimprovements,,,
improvement_subrecords_buildingdescription,is_ground_lease,gba_total_meters,incExp_financialstype,,,
improvement_subrecords_ceilingheight,is_lihtc,geo_code,incExp_fuelexpense,,,
improvement_subrecords_clearheight,land_assessment,geo_name,incExp_gasexpense,,,
improvement_subrecords_columnspacing,land_hectares,geo_type,incExp_generalandadministrative,,,
improvement_subrecords_condition,land_sf,geography_id,incExp_generalandadministrative2,,,
improvement_subrecords_construction,land_square_meters,grantee,incExp_GroundRentExp,Sales_grantee,,
improvement_subrecords_constructionclass,land_to_building_ratio,grantee_buyer,incExp_groundsandsecurity,,,
improvement_subrecords_cooling,land_unit_approved_or_zoned,grantor,incExp_insurance,Sales_grantor,,
improvement_subrecords_coveredparkingspaces,land_unit_type,grantor_seller,incExp_maintenancesalaries,,,
improvement_subrecords_deferredmaintance,land_units,gross_building_area,incExp_management,,,
improvement_subrecords_designappeal,land_use,heating_id,incExp_managerleasingsalaries,Improvement_heating,,
improvement_subrecords_docks,land_value,heating_type,incExp_name,,,
improvement_subrecords_effectiveage,land_value_per_sf,highest_and_best_use,incExp_netparkingincome,Sales_highestandbestuse,,
improvement_subrecords_exteriorwall,last_rent_increase,holding_period_years,incExp_noi,Sales_holdingperiodyears,,
improvement_subrecords_ffande,lat,home_site_acres,incExp_noiperbed,Sites_homesiteacres,,
improvement_subrecords_fireplaceorwoodstove,lat_centroid,hotel_flag,incExp_noipergbam2,Improvement_hotelflag,,
improvement_subrecords_foundation,lease_commencement_date,hotel_room_rev_multiplier,incExp_noiperrasf,Sales_hotelroomrevmultiplier,,
improvement_subrecords_garage,lease_comp_id,id,incExp_noipersf,Sales_id,,
improvement_subrecords_garageparkingspaces,lease_concessions,implied_value,incExp_noiperunit,Assessment_impliedvalue,,
improvement_subrecords_gbatotalmeters,lease_conditions,improvement_assessment,incExp_noiperusablesf,Assessment_assessmentyear,,
improvement_subrecords_heating,lease_expiration_date,improvement_comments,incExp_nonrevenueunits,Rent Roll_comments,,
improvement_subrecords_landscaping,lease_options,improvement_id,incExp_occupancy,Rent Roll Summary_ID,,
improvement_subrecords_landtobuildingratio,lease_start_date,improvement_subrecords_condition,incExp_onsitemanagementexp,,,
improvement_subrecords_loadfactor,lease_tenant_improvs,improvement_subrecords_construction,incExp_otherexpenses,,,
improvement_subrecords_multifamilyamenities,lease_term_months,improvement_subrecords_cooling,incExp_otherincome,,,
improvement_subrecords_noofbathrooms,lease_transaction_type,improvement_subrecords_deferredmaintance,incExp_otherrepairs,,,
improvement_subrecords_noofbays,lease_type,improvement_subrecords_docks,incExp_othersalaries,Improvement_docks,,
improvement_subrecords_noofbedrooms,leaseexpiredate,improvement_subrecords_foundation,incExp_paintinganddecorating,,,
improvement_subrecords_noofbeds,leasestartdate,improvement_subrecords_garage,incExp_payrolltaxes,Improvement_garage,,
improvement_subrecords_noofelevators,legal_description,improvement_subrecords_heating,incExp_payrolltotal,,,
improvement_subrecords_noofescalators,lender_name,improvement_subrecords_landscaping,incExp_percentagerent,Improvement_landscaping,,
improvement_subrecords_noofgolfholes,lessor_name,improvement_subrecords_landtobuildingratio,incExp_pgi,Improvement_landtobuildingratio,,
improvement_subrecords_noofhalfbaths,lh_occupancy,improvement_subrecords_loadfactor,incExp_pgipersf,Improvement_loadfactor,,
improvement_subrecords_noofrooms,lightbox_created_by,improvement_subrecords_multifamilyamenities,incExp_pgiperunit,Improvement_multifamilyamenities,,
improvement_subrecords_noofseats,lightbox_id,improvement_subrecords_noofbathrooms,incExp_professionalservicesexp,Improvement_noofbathrooms,,
improvement_subrecords_noofspaces,lightbox_timestamp,improvement_subrecords_noofbays,incExp_repairsandmaintenance,Improvement_noofbays,,
improvement_subrecords_noofstories,lng,improvement_subrecords_noofbedrooms,incExp_reserves,Improvement_noofbedrooms,,
improvement_subrecords_nooftruckdoors,lng_centroid,improvement_subrecords_noofbeds,incExp_sewerexpense,Improvement_noofbeds,,
improvement_subrecords_nooftruckdoorswithlevelers,load_factor,improvement_subrecords_noofelevators,incExp_surveydate,Improvement_noofelevators,,
improvement_subrecords_noofunits,major_type,improvement_subrecords_noofescalators,incExp_taxexpense,Improvement_noofescalators,,
improvement_subrecords_parking,management_company,improvement_subrecords_noofgolfholes,incExp_totalexpenses,Improvement_noofgolfholes,,
improvement_subrecords_parkingadequacy,market_rent_max,improvement_subrecords_noofhalfbaths,incExp_totalutilities,Improvement_noofhalfbaths,,
improvement_subrecords_parkingcomments,market_rent_min,improvement_subrecords_noofrooms,incExp_trashexpense,Improvement_noofrooms,,
improvement_subrecords_parkingcondition,market_rent_per_mo,improvement_subrecords_noofseats,incExp_vacancy,Improvement_noofseats,,
improvement_subrecords_parkingtype,market_rent_per_sf,improvement_subrecords_noofspaces,incExp_vacancycost,Improvement_noofspaces,,
improvement_subrecords_porchordeck,max_build_height,improvement_subrecords_noofstories,incExp_vacancycostpersf,Improvement_noofstories,,
improvement_subrecords_proportionrenovated,max_gross_lihtc_restricted_rent,improvement_subrecords_nooftruckdoors,incExp_vacancycostperunit,Improvement_nooftruckdoors,,
improvement_subrecords_quality,max_site_coverage,improvement_subrecords_nooftruckdoorswithlevelers,incExp_waterexpense,Improvement_nooftruckdoorswithlevelers,,
improvement_subrecords_ratotalmeters,median_hh_income,improvement_subrecords_noofunits,Parcel_address,Improvement_noofunits,,
improvement_subrecords_remainingeconomiclife,median_home_value,improvement_subrecords_parking,Parcel_appraisalfile,Improvement_parking,,
improvement_subrecords_renovations,median_household_income,improvement_subrecords_parkingadequacy,Parcel_appraisalusage,Improvement_parkingadequacy,,
improvement_subrecords_residentialamenities,merge_timestamp,improvement_subrecords_parkingcomments,Parcel_cbsa_id,Improvement_parkingcomments,,
improvement_subrecords_residentialdesign,merged_by_user_or_system,improvement_subrecords_parkingcondition,Parcel_cbsa_name,Improvement_parkingcondition,,
improvement_subrecords_roofcover,mf_br_max,improvement_subrecords_parkingtype,Parcel_censusblock,Improvement_parkingtype,,
improvement_subrecords_rooftype,mf_br_min,improvement_subrecords_porchordeck,Parcel_censustract,Improvement_porchordeck,,
improvement_subrecords_sourceforsfarea,mf_carport_fee_monthly,improvement_subrecords_proportionrenovated,Parcel_city,Improvement_proportionrenovated,,
improvement_subrecords_sprinklers,mf_garage_fee_monthly,improvement_subrecords_quality,Parcel_country,Improvement_quality,,
improvement_subrecords_surfaceparkingspaces,mf_lease_comments,improvement_subrecords_ratotalmeters,Parcel_county,Improvement_ratotalmeters,,
improvement_subrecords_tenantimprovements,mf_lease_notes,improvement_subrecords_remainingeconomiclife,Parcel_createdby,Improvement_remainingeconomiclife,,
improvement_subrecords_totaleconomiclife,mf_lease_survey_date,improvement_subrecords_renovations,Parcel_districtspending,Improvement_renovations,,
improvement_subrecords_typicalbaydepth,mf_occupancy,improvement_subrecords_residentialamenities,Parcel_districturl,Improvement_residentialamenities,,
improvement_subrecords_usablearea,mf_rent_concessions,improvement_subrecords_residentialdesign,Parcel_eastboundary,Improvement_residentialdesign,,
improvement_subrecords_yearbuilt,mf_rent_per_mo_max,improvement_subrecords_roofcover,Parcel_enrollment,Improvement_roofcover,,
improvementvalue,mf_rent_per_mo_min,improvement_subrecords_rooftype,Parcel_far,Improvement_rooftype,,
improvementvaluepersf,mf_rent_per_sf_max,improvement_subrecords_sourceforsfarea,Parcel_isgroundlease,Improvement_sourceforsfarea,,
improvmentcomments,mf_rent_per_sf_min,improvement_subrecords_sprinklers,Parcel_lat,Improvement_sprinklers,,
incomegrowth,mf_rent_per_sf_per_mo_max,improvement_subrecords_surfaceparkingspaces,Parcel_lng,Improvement_surfaceparkingspaces,,
incomegrowthrate,mf_rent_per_sf_per_mo_min,improvement_subrecords_tenantimprovements,Parcel_locationdescription,Improvement_tenantimprovements,,
incometarget,mf_rent_type,improvement_subrecords_totaleconomiclife,Parcel_market,Improvement_totaleconomiclife,,
industrialgba,mf_size_sf_max,improvement_subrecords_typicalbaydepth,Parcel_msa,Improvement_typicalbaydepth,,
industrialra,mf_size_sf_min,improvement_subrecords_usablearea,Parcel_municipality,Improvement_usablearea,,
ingestion_timestamp,mf_source_notes,improvement_subrecords_yearbuilt,Parcel_name,Improvement_yearbuilt,,
instancetype,mf_surveyed_unit_count_total,improvement_value,Parcel_name,,,
internalcomments,mf_total_annual_rent,improvement_value_per_sf,Parcel_neighborhood,,,
isdeleted,mf_total_rent_per_month,income_growth,Parcel_neighborhoodcomments,Sales_incomegrowth,,
isexcel,mf_unit_amenities,income_growth_rate,Parcel_northboundary,Sales_incomegrowthrate,,
isgroundlease,mf_vacant_units_count,income_target_percent,Parcel_opportunityzone,Unit Lease_incometarget,,
jurisdiction,mf_weighted_avg_rent_per_sf_per_mo,incometarget,Parcel_otherdbrefs,,,
landhectares,mf_weighted_avg_rent_per_sf_per_year,industrial_gba,Parcel_owner,,,
landscaping,mf_weighted_avg_rent_per_unit,industrial_ra,Parcel_parcelcomments,,,
landsf,min_lot_area,ingestion_timestamp,Parcel_parcelverificationdata,,,
landsquaremeters,minimum_lot_area,instance_type,Parcel_propertymajortype,Rent Roll Summary_instancetype,,
landtobuildingratio,monthly_or_daily_rent,internal_comments,Parcel_propertysubtype,Sales_internalcomments,,
