Tab Name,Cell Ref,Formula,Notes
Settings,B24,"=1/((B157=""Show"")+((B157<>""Hide"")))",Backend UI Toggle
Settings,B25,"=1/((B158=""Show"")+((B158<>""Hide"")))",Backend UI Toggle
Settings,B26,"=1/((B159=""Show"")+((B159<>""Hide"")))",Backend UI Toggle
Settings,B60,"=1/((B193=""Show"")+((B193<>""Hide"")))",Backend UI Toggle
Settings,B61,"=1/((B194=""Show"")+((B194<>""Hide"")))",Backend UI Toggle
Settings,B62,"=1/((B195=""Show"")+((B195<>""Hide"")))",Backend UI Toggle
Settings,B63,"=1/((B196=""Show"")+((B196<>""Hide"")))",Backend UI Toggle
Settings,B64,"=1/((B197=""Show"")+((B197<>""Hide"")))",Backend UI Toggle
Settings,B65,"=1/((B198=""Show"")+((B198<>""Hide"")))",Backend UI Toggle
Settings,B66,"=1/((B199=""Show"")+((B199<>""Hide"")))",Backend UI Toggle
Settings,B67,"=1/((B200=""Show"")+((B200<>""Hide"")))",Backend UI Toggle
Settings,B68,"=1/((B201=""Show"")+((B201<>""Hide"")))",Backend UI Toggle
Settings,B69,"=1/((B202=""Show"")+((B202<>""Hide"")))",Backend UI Toggle
Settings,B70,"=1/((B203=""Show"")+((B203<>""Hide"")))",Backend UI Toggle
Settings,B71,"=1/((B204=""Show"")+((B204<>""Hide"")))",Backend UI Toggle
Settings,B72,"=1/((B205=""Show"")+((B205<>""Hide"")))",Backend UI Toggle
Settings,B73,"=1/((B206=""Show"")+((B206<>""Hide"")))",Backend UI Toggle
Settings,B74,"=1/((B207=""Show"")+((B207<>""Hide"")))",Backend UI Toggle
Settings,B75,"=1/((B208=""Show"")+((B208<>""Hide"")))",Backend UI Toggle
Settings,B76,"=1/((B209=""Show"")+((B209<>""Hide"")))",Backend UI Toggle
Settings,B77,"=1/((B210=""Show"")+((B210<>""Hide"")))",Backend UI Toggle
Settings,B78,"=1/((B211=""Show"")+((B211<>""Hide"")))",Backend UI Toggle
Settings,B79,"=1/((B212=""Show"")+((B212<>""Hide"")))",Backend UI Toggle
Settings,B80,"=1/((B213=""Show"")+((B213<>""Hide"")))",Backend UI Toggle
Settings,B81,"=1/((B214=""Show"")+((B214<>""Hide"")))",Backend UI Toggle
Settings,B82,"=1/((B215=""Show"")+((B215<>""Hide"")))",Backend UI Toggle
Settings,B83,"=1/((B216=""Show"")+((B216<>""Hide"")))",Backend UI Toggle
Settings,B84,"=1/((B217=""Show"")+((B217<>""Hide"")))",Backend UI Toggle
Settings,B85,"=1/((B218=""Show"")+((B218<>""Hide"")))",Backend UI Toggle
Settings,B86,"=1/((B219=""Show"")+((B219<>""Hide"")))",Backend UI Toggle
Settings,B87,"=1/((B220=""Show"")+((B220<>""Hide"")))",Backend UI Toggle
Settings,B88,"=1/((B221=""Show"")+((B221<>""Hide"")))",Backend UI Toggle
Settings,B89,"=1/((B222=""Show"")+((B222<>""Hide"")))",Backend UI Toggle
Settings,B90,"=1/((B223=""Show"")+((B223<>""Hide"")))",Backend UI Toggle
Settings,B91,"=1/((B224=""Show"")+((B224<>""Hide"")))",Backend UI Toggle
"Dates, Premises",U80,"=1/((W80=""Show"")+(W80<>""Hide"")*(Y80<>0)*(Y80<>""""))",Backend UI Toggle
"Dates, Premises",U81,"=1/((W81=""Show"")+(W81<>""Hide"")*(Y81<>0)*(Y81<>""""))",Backend UI Toggle
"Dates, Premises",U82,"=1/((W82=""Show"")+(W82<>""Hide"")*(Y82<>0)*(Y82<>""""))",Backend UI Toggle
"Dates, Premises",U91,"=1/((W91=""Show"")+(W91<>""Hide"")*(Y91<>0)*(Y91<>""""))",Backend UI Toggle
"Dates, Premises",U92,"=1/((W92=""Show"")+(W92<>""Hide"")*(Y92<>0)*(Y92<>""""))",Backend UI Toggle
"Dates, Premises",U93,"=1/((W93=""Show"")+(W93<>""Hide"")*(Y93<>0)*(Y93<>""""))",Backend UI Toggle
"Contracts, History",AC90,"=1/((AC89=""Show"")+(AC89<>""Hide"")*(AC97<>"""")*(AC97<>0))",Backend UI Toggle
"Contracts, History",AD90,"=1/((AD89=""Show"")+(AD89<>""Hide"")*(AD97<>"""")*(AD97<>0))",Backend UI Toggle
"Contracts, History",AE90,"=1/((AE89=""Show"")+(AE89<>""Hide"")*(AE97<>"""")*(AE97<>0))",Backend UI Toggle
"Contracts, History",AF90,"=1/((AF89=""Show"")+(AF89<>""Hide"")*(AF97<>"""")*(AF97<>0))",Backend UI Toggle
"Contracts, History",AG90,"=1/((AG89=""Show"")+(AG89<>""Hide"")*(AG97<>"""")*(AG97<>0))",Backend UI Toggle
"Contracts, History",AC92,"=COUNTIF(SaleHistoryColumnsShowHide,""Show"")",Backend UI Toggle
"Contracts, History",X96,"=1/((Z96=""Show"")+(Z96<>""Hide"")*(AB96<>"""")*(AB96<>0))",Backend UI Toggle
"Contracts, History",X97,"=1/((Z97=""Show"")+(Z97<>""Hide"")*(AB97<>"""")*(AB97<>0))",Backend UI Toggle
"Contracts, History",X98,"=1/((Z98=""Show"")+(Z98<>""Hide"")*(AB98<>"""")*(AB98<>0))",Backend UI Toggle
"Contracts, History",X99,"=1/((Z99=""Show"")+(Z99<>""Hide"")*(AB99<>"""")*(AB99<>0))",Backend UI Toggle
"Contracts, History",X100,"=1/((Z100=""Show"")+(Z100<>""Hide"")*(AB100<>"""")*(AB100<>0))",Backend UI Toggle
"Contracts, History",X101,"=1/((Z101=""Show"")+(Z101<>""Hide"")*(AB101<>"""")*(AB101<>0))",Backend UI Toggle
"Contracts, History",X102,"=1/((Z102=""Show"")+(Z102<>""Hide"")*(AB102<>"""")*(AB102<>0))",Backend UI Toggle
"Contracts, History",X103,"=1/((Z103=""Show"")+(Z103<>""Hide"")*(AB103<>"""")*(AB103<>0))",Backend UI Toggle
"Contracts, History",X104,"=1/((Z104=""Show"")+(Z104<>""Hide"")*(AB104<>"""")*(AB104<>0))",Backend UI Toggle
"Contracts, History",X105,"=1/((Z105=""Show"")+(Z105<>""Hide"")*(AB105<>"""")*(AB105<>0))",Backend UI Toggle
"Contracts, History",X106,"=1/((Z106=""Show"")+(Z106<>""Hide"")*(AB106<>"""")*(AB106<>0))",Backend UI Toggle
"Contracts, History",X107,"=1/((Z107=""Show"")+(Z107<>""Hide"")*(AB107<>"""")*(AB107<>0)*(NOT('Market Rent'!$TK$364)))",Backend UI Toggle
"Contracts, History",X108,"=1/((Z108=""Show"")+(Z108<>""Hide"")*(AB108<>"""")*(AB108<>0))",Backend UI Toggle
"Contracts, History",X109,"=1/((Z109=""Show"")+(Z109<>""Hide"")*(AB109<>"""")*(AB109<>0))",Backend UI Toggle
"Contracts, History",X110,"=1/((Z110=""Show"")+(Z110<>""Hide"")*(AB110<>"""")*(AB110<>0))",Backend UI Toggle
"Contracts, History",X111,"=1/((Z111=""Show"")+(Z111<>""Hide"")*(AB111<>"""")*(AB111<>0))",Backend UI Toggle
"Contracts, History",X112,"=1/((Z112=""Show"")+(Z112<>""Hide"")*(AB112<>"""")*(AB112<>0))",Backend UI Toggle
"Contracts, History",X113,"=1/((Z113=""Show"")+(Z113<>""Hide"")*(AB113<>"""")*(AB113<>0))",Backend UI Toggle
"Contracts, History",AO122,"=1/((AO121=""Show"")+(AO121<>""Hide"")*(AO128<>"""")*(AO128<>0))",Backend UI Toggle
"Contracts, History",AP122,"=1/((AP121=""Show"")+(AP121<>""Hide"")*(AP128<>"""")*(AP128<>0))",Backend UI Toggle
"Contracts, History",AJ127,"=1/((AL127=""Show"")+(AL127<>""Hide"")*(AN127<>"""")*(AN127<>0))",Backend UI Toggle
"Contracts, History",AJ128,"=1/((AL128=""Show"")+(AL128<>""Hide"")*(AN128<>"""")*(AN128<>0))",Backend UI Toggle
"Contracts, History",AJ129,"=1/((AL129=""Show"")+(AL129<>""Hide"")*(AN129<>"""")*(AN129<>0))",Backend UI Toggle
"Contracts, History",AJ130,"=1/((AL130=""Show"")+(AL130<>""Hide"")*(AN130<>"""")*(AN130<>0))",Backend UI Toggle
"Contracts, History",AJ131,"=1/((AL131=""Show"")+(AL131<>""Hide"")*(AN131<>"""")*(AN131<>0))",Backend UI Toggle
"Contracts, History",AJ132,"=1/((AL132=""Show"")+(AL132<>""Hide"")*(AN132<>"""")*(AN132<>0))",Backend UI Toggle
"Contracts, History",AJ133,"=1/((AL133=""Show"")+(AL133<>""Hide"")*(AN133<>"""")*(AN133<>0))",Backend UI Toggle
"Contracts, History",AJ134,"=1/((AL134=""Show"")+(AL134<>""Hide"")*(AN134<>"""")*(AN134<>0))",Backend UI Toggle
"Contracts, History",AJ135,"=1/((AL135=""Show"")+(AL135<>""Hide"")*(AN135<>"""")*(AN135<>0))",Backend UI Toggle
"Contracts, History",AJ136,"=1/((AL136=""Show"")+(AL136<>""Hide"")*(AN136<>"""")*(AN136<>0))",Backend UI Toggle
"Contracts, History",AJ137,"=1/((AL137=""Show"")+(AL137<>""Hide"")*(AN137<>"""")*(AN137<>0))",Backend UI Toggle
"Contracts, History",AJ138,"=1/((AL138=""Show"")+(AL138<>""Hide"")*(AN138<>"""")*(AN138<>0)*(NOT('Market Rent'!$TK$364)))",Backend UI Toggle
Scope,N110,"=1/((P110=""Show"")+(P110<>""Hide""))",Backend UI Toggle
Scope,N111,"=1/((P111=""Show"")+(P111<>""Hide""))",Backend UI Toggle
Scope,N112,"=1/((P112=""Show"")+(P112<>""Hide""))",Backend UI Toggle
Scope,N113,"=1/((P113=""Show"")+(P113<>""Hide""))",Backend UI Toggle
Scope,N114,"=1/((P114=""Show"")+(P114<>""Hide""))",Backend UI Toggle
Scope,N115,"=1/((P115=""Show"")+(P115<>""Hide""))",Backend UI Toggle
Scope,N116,"=1/((P116=""Show"")+(P116<>""Hide""))",Backend UI Toggle
Scope,N117,"=1/((P117=""Show"")+(P117<>""Hide"")*(V116=""Yes""))",Backend UI Toggle
Scope,N118,"=1/((P118=""Show"")+(P118<>""Hide"")*(pvaIsJobMHC+pvaIsJobSeniors))",Backend UI Toggle
Scope,N119,"=1/((P119=""Show"")+(P119<>""Hide""))",Backend UI Toggle
Scope,AY196,"=1/((AY197=""Show"")+(AY197<>""Hide""))",Backend UI Toggle
Scope,BB196,"=1/(N1DBProvince=""IL"")",Backend UI Toggle
Scope,AT201,"=1/(((AU201=""Show""))+(AU201<>""Hide"")*(AY201<>""""))",Backend UI Toggle
Scope,AT202,"=1/(((AU202=""Show""))+(AU202<>""Hide"")*(AY202<>""""))",Backend UI Toggle
Scope,AT203,"=1/(((AU203=""Show""))+(AU203<>""Hide"")*(AY203<>""""))",Backend UI Toggle
Scope,AT204,"=1/(((AU204=""Show""))+(AU204<>""Hide"")*(AY204<>""""))",Backend UI Toggle
Scope,AT205,"=1/(((AU205=""Show""))+(AU205<>""Hide"")*(AY205<>""""))",Backend UI Toggle
Scope,AT206,"=1/(((AU206=""Show""))+(AU206<>""Hide"")*(AY206<>""""))",Backend UI Toggle
Scope,AT207,"=1/(((AU207=""Show""))+(AU207<>""Hide"")*(AY207<>""""))",Backend UI Toggle
Scope,AT208,"=1/(((AU208=""Show""))+(AU208<>""Hide"")*(AY208<>""""))",Backend UI Toggle
Scope,AT209,"=1/(((AU209=""Show""))+(AU209<>""Hide"")*(AY209<>""""))",Backend UI Toggle
Scope,AT210,"=1/(((AU210=""Show""))+(AU210<>""Hide"")*(AY210<>""""))",Backend UI Toggle
Scope,AT211,"=1/(((AU211=""Show""))+(AU211<>""Hide"")*(AY211<>""""))",Backend UI Toggle
Scope,AT212,"=1/(((AU212=""Show""))+(AU212<>""Hide"")*(AY212<>"""")*(FIND(""MAI"",AR212)))",Backend UI Toggle
Scope,AT213,"=1/(((AU213=""Show""))+(AU213<>""Hide"")*(AY213<>""""))",Backend UI Toggle
Scope,AT214,"=1/(((AU214=""Show""))+(AU214<>""Hide"")*(AY214<>"""")*(AY214<>0))",Backend UI Toggle
Scope,AT215,"=1/(((AU215=""Show""))+(AU215<>""Hide"")*(AY215<>"""")*(pvaIllinoisAMC_YN=""Yes""))",Backend UI Toggle
Scope,AT216,"=1/(((AU216=""Show""))+(AU216<>""Hide"")*(AY216<>"""")*(pvaIllinoisAMC_YN=""Yes""))",Backend UI Toggle
Scope,AT217,"=1/(((AU217=""Show""))+(AU217<>""Hide"")*(AY217<>""""))",Backend UI Toggle
Scope,AT218,"=1/(((AU218=""Show""))+(AU218<>""Hide"")*(AY218<>""""))",Backend UI Toggle
Site,AB5,=1/(N1NumberOfParcels>1),Backend UI Toggle
Site,AD5,"=1/((AD18=""Show"")+(AD18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AE5,"=1/((AE18=""Show"")+(AE18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AF5,"=1/((AF18=""Show"")+(AF18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AG5,"=1/((AG18=""Show"")+(AG18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AH5,"=1/((AH18=""Show"")+(AH18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AI5,"=1/((AI18=""Show"")+(AI18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AJ5,"=1/((AJ18=""Show"")+(AJ18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AK5,"=1/((AK18=""Show"")+(AK18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AL5,"=1/((AL18=""Show"")+(AL18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AM5,"=1/((AM18=""Show"")+(AM18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AN5,"=1/((AN18=""Show"")+(AN18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AO5,"=1/((AO18=""Show"")+(AO18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AP5,"=1/((AP18=""Show"")+(AP18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AQ5,"=1/((AQ18=""Show"")+(AQ18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AR5,"=1/((AR18=""Show"")+(AR18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AS5,"=1/((AS18=""Show"")+(AS18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AT5,"=1/((AT18=""Show"")+(AT18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AU5,"=1/((AU18=""Show"")+(AU18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,AV5,"=1/((AV18=""Show"")+(AV18<>""Hide"")*(COLUMN()-COLUMN($AC5)<N1NumberOfParcels))",Backend UI Toggle
Site,S20,"=1/((R20=""Show"")+(R20<>""Hide""))",Backend UI Toggle
Site,S21,"=1/((R21=""Show"")+(R21<>""Hide""))",Backend UI Toggle
Site,S22,"=1/((R22=""Show"")+(R22<>""Hide""))",Backend UI Toggle
Site,S23,"=1/((R23=""Show"")+(R23<>""Hide""))",Backend UI Toggle
Site,S24,"=1/((R24=""Show"")+(R24<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S25,"=1/((R25=""Show"")+(R25<>""Hide""))",Backend UI Toggle
Site,S26,"=1/((R26=""Show"")+(R26<>""Hide""))",Backend UI Toggle
Site,S27,"=1/((R27=""Show"")+(R27<>""Hide""))",Backend UI Toggle
Site,S28,"=1/((R28=""Show"")+(R28<>""Hide""))",Backend UI Toggle
Site,S29,"=1/((R29=""Show"")+(R29<>""Hide""))",Backend UI Toggle
Site,S30,"=1/((R30=""Show"")+(R30<>""Hide""))",Backend UI Toggle
Site,S31,"=1/((R31=""Show"")+(R31<>""Hide""))",Backend UI Toggle
Site,S32,"=1/((R32=""Show"")+(R32<>""Hide""))",Backend UI Toggle
Site,S33,"=1/((R33=""Show"")+(R33<>""Hide""))",Backend UI Toggle
Site,S34,"=1/((R34=""Show"")+(R34<>""Hide""))",Backend UI Toggle
Site,S35,"=1/((R35=""Show"")+(R35<>""Hide""))",Backend UI Toggle
Site,S36,"=1/((R36=""Show"")+(R36<>""Hide""))",Backend UI Toggle
Site,S37,"=1/((R37=""Show"")+(R37<>""Hide""))",Backend UI Toggle
Site,S38,"=1/((R38=""Show"")+(R38<>""Hide""))",Backend UI Toggle
Site,S39,"=1/((R39=""Show"")+(R39<>""Hide""))",Backend UI Toggle
Site,S40,"=1/((R40=""Show"")+(R40<>""Hide""))",Backend UI Toggle
Site,S41,"=1/((R41=""Show"")+(R41<>""Hide""))",Backend UI Toggle
Site,S42,"=1/((R42=""Show"")+(R42<>""Hide""))",Backend UI Toggle
Site,S43,"=1/((R43=""Show"")+(R43<>""Hide""))",Backend UI Toggle
Site,S44,"=1/((R44=""Show"")+(R44<>""Hide""))",Backend UI Toggle
Site,S45,"=1/((R45=""Show"")+(R45<>""Hide""))",Backend UI Toggle
Site,S46,"=1/((R46=""Show"")+(R46<>""Hide""))",Backend UI Toggle
Site,S47,"=1/((R47=""Show"")+(R47<>""Hide""))",Backend UI Toggle
Site,S48,"=1/((R48=""Show"")+(R48<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S49,"=1/((R49=""Show"")+(R49<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S50,"=1/((R50=""Show"")+(R50<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S51,"=1/((R51=""Show"")+(R51<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S52,"=1/((R52=""Show"")+(R52<>""Hide"")*(N1ExistingOrProposed=""Proposed""))",Backend UI Toggle
Site,S53,"=1/((R53=""Show"")+(R53<>""Hide""))",Backend UI Toggle
Site,S54,"=1/((R54=""Show"")+(R54<>""Hide""))",Backend UI Toggle
Site,S55,"=1/((R55=""Show"")+(R55<>""Hide""))",Backend UI Toggle
Site,S56,"=1/((R56=""Show"")+(R56<>""Hide""))",Backend UI Toggle
Site,S57,"=1/((R57=""Show"")+(R57<>""Hide""))",Backend UI Toggle
Site,S58,"=1/((R58=""Show"")+(R58<>""Hide""))",Backend UI Toggle
Site,S59,"=1/((R59=""Show"")+(R59<>""Hide""))",Backend UI Toggle
Site,S60,"=1/((R60=""Show"")+(R60<>""Hide""))",Backend UI Toggle
Site,S61,"=1/((R61=""Show"")+(R61<>""Hide""))",Backend UI Toggle
Site,S62,"=1/((R62=""Show"")+(R62<>""Hide""))",Backend UI Toggle
Site,S63,"=1/((R63=""Show"")+(R63<>""Hide""))",Backend UI Toggle
Site,S64,"=1/((R64=""Show"")+(R64<>""Hide""))",Backend UI Toggle
Site,S65,"=1/((R65=""Show"")+(R65<>""Hide""))",Backend UI Toggle
Site,S66,"=1/((R66=""Show"")+(R66<>""Hide""))",Backend UI Toggle
Site,S67,"=1/((R67=""Show"")+(R67<>""Hide""))",Backend UI Toggle
Site,S68,"=1/((R68=""Show"")+(R68<>""Hide""))",Backend UI Toggle
Site,S69,"=1/((R69=""Show"")+(R69<>""Hide""))",Backend UI Toggle
Site,S70,"=1/((R70=""Show"")+(R70<>""Hide""))",Backend UI Toggle
Site,S71,"=1/((R71=""Show"")+(R71<>""Hide""))",Backend UI Toggle
Site,S72,"=1/((R72=""Show"")+(R72<>""Hide""))",Backend UI Toggle
Site,S73,"=1/((R73=""Show"")+(R73<>""Hide""))",Backend UI Toggle
Site,S74,"=1/((R74=""Show"")+(R74<>""Hide""))",Backend UI Toggle
Site,S75,"=1/((R75=""Show"")+(R75<>""Hide""))",Backend UI Toggle
Site,S76,"=1/((R76=""Show"")+(R76<>""Hide""))",Backend UI Toggle
Site,S77,"=1/((R77=""Show"")+(R77<>""Hide""))",Backend UI Toggle
Site,S78,"=1/((R78=""Show"")+(R78<>""Hide""))",Backend UI Toggle
Site,S79,"=1/((R79=""Show"")+(R79<>""Hide""))",Backend UI Toggle
Site,S80,"=1/((R80=""Show"")+(R80<>""Hide""))",Backend UI Toggle
Site,S81,"=1/((R81=""Show"")+(R81<>""Hide""))",Backend UI Toggle
Site,S82,"=1/((R82=""Show"")+(R82<>""Hide""))",Backend UI Toggle
Site,S83,"=1/((R83=""Show"")+(R83<>""Hide""))",Backend UI Toggle
Site,S84,"=1/((R84=""Show"")+(R84<>""Hide""))",Backend UI Toggle
Site,S85,"=1/((R85=""Show"")+(R85<>""Hide""))",Backend UI Toggle
Site,S86,"=1/((R86=""Show"")+(R86<>""Hide""))",Backend UI Toggle
Site,S87,"=1/((R87=""Show"")+(R87<>""Hide""))",Backend UI Toggle
Site,S88,"=1/((R88=""Show"")+(R88<>""Hide""))",Backend UI Toggle
Site,S89,"=1/((R89=""Show"")+(R89<>""Hide""))",Backend UI Toggle
Site,S90,"=1/((R90=""Show"")+(R90<>""Hide""))",Backend UI Toggle
Site,S91,"=1/((R91=""Show"")+(R91<>""Hide""))",Backend UI Toggle
Site,S92,"=1/((R92=""Show"")+(R92<>""Hide""))",Backend UI Toggle
Site,S93,"=1/((R93=""Show"")+(R93<>""Hide""))",Backend UI Toggle
Site,S94,"=1/((R94=""Show"")+(R94<>""Hide""))",Backend UI Toggle
Site,S95,"=1/((R95=""Show"")+(R95<>""Hide""))",Backend UI Toggle
Site,S96,"=1/((R96=""Show"")+(R96<>""Hide""))",Backend UI Toggle
Site,S97,"=1/((R97=""Show"")+(R97<>""Hide""))",Backend UI Toggle
Site,S98,"=1/((R98=""Show"")+(R98<>""Hide""))",Backend UI Toggle
Site,S99,"=1/((R99=""Show"")+(R99<>""Hide""))",Backend UI Toggle
Site,S100,"=1/((R100=""Show"")+(R100<>""Hide""))",Backend UI Toggle
Site,S101,"=1/((R101=""Show"")+(R101<>""Hide""))",Backend UI Toggle
Site,S102,"=1/((R102=""Show"")+(R102<>""Hide""))",Backend UI Toggle
Site,S103,"=1/((R103=""Show"")+(R103<>""Hide""))",Backend UI Toggle
Site,S104,"=1/((R104=""Show"")+(R104<>""Hide""))",Backend UI Toggle
Site,S105,"=1/((R105=""Show"")+(R105<>""Hide""))",Backend UI Toggle
Site,S106,"=1/((R106=""Show"")+(R106<>""Hide""))",Backend UI Toggle
Site,S107,"=1/((R107=""Show"")+(R107<>""Hide""))",Backend UI Toggle
Site,S108,"=1/((R108=""Show"")+(R108<>""Hide""))",Backend UI Toggle
Site,S109,"=1/((R109=""Show"")+(R109<>""Hide""))",Backend UI Toggle
Site,S110,"=1/((R110=""Show"")+(R110<>""Hide""))",Backend UI Toggle
Site,S111,"=1/((R111=""Show"")+(R111<>""Hide""))",Backend UI Toggle
Site,S112,"=1/((R112=""Show"")+(R112<>""Hide""))",Backend UI Toggle
Site,S113,"=1/((R113=""Show"")+(R113<>""Hide""))",Backend UI Toggle
Site,S114,"=1/((R114=""Show"")+(R114<>""Hide""))",Backend UI Toggle
Site,S115,"=1/((R115=""Show"")+(R115<>""Hide""))",Backend UI Toggle
Site,S116,"=1/((R116=""Show"")+(R116<>""Hide""))",Backend UI Toggle
Site,S117,"=1/((R117=""Show"")+(R117<>""Hide""))",Backend UI Toggle
Site,S118,"=1/((R118=""Show"")+(R118<>""Hide""))",Backend UI Toggle
Site,S119,"=1/((R119=""Show"")+(R119<>""Hide""))",Backend UI Toggle
Site,S120,"=1/((R120=""Show"")+(R120<>""Hide""))",Backend UI Toggle
Site,S121,"=1/((R121=""Show"")+(R121<>""Hide""))",Backend UI Toggle
Site,S122,"=1/((R122=""Show"")+(R122<>""Hide""))",Backend UI Toggle
Site,S123,"=1/((R123=""Show"")+(R123<>""Hide""))",Backend UI Toggle
Site,S124,"=1/((R124=""Show"")+(R124<>""Hide""))",Backend UI Toggle
Site,S125,"=1/((R125=""Show"")+(R125<>""Hide""))",Backend UI Toggle
Site,S126,"=1/((R126=""Show"")+(R126<>""Hide""))",Backend UI Toggle
Site,S127,"=1/((R127=""Show"")+(R127<>""Hide""))",Backend UI Toggle
