Tab Name,Field Name,Dropdown Values,Cell Ref
"Dates, Premises",Hypothetical,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F31
"Dates, Premises",Unknown_Field_O31,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O31
"Dates, Premises",Unknown_Field_Q31,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q31
"Dates, Premises",Liquidation,"Upon Completion,As-If Completed,Upon Stabilization,As-If Stabilized,Hypothetical,Liquidation,Disposition",F32
"Dates, Premises",Unknown_Field_O32,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",O32
"Dates, Premises",Unknown_Field_Q32,"1 month, 2 months, 3 months, 4 months, 5 months, 6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 18 months, 2 years",Q32
"Dates, Premises",Prior Services,"The appraiser has not performed any prior services regarding the subject within the previous three years of the appraisal date., The appraisers have not performed any prior services regarding the subject within the previous three years of the appraisal date., The appraiser has performed the following prior services regarding the subject within the previous three years of the appraisal date:, The appraisers have performed the following prior services regarding the subject within the previous three years of the appraisal date:, Item 5, Item 6, Item 7, Item 8, Item 9, Item 10",I61
"Dates, Premises",Toggle Display,"Auto, Show, Hide",W79
"Dates, Premises",Show,"Auto, Show, Hide",W80
"Dates, Premises",Auto,"Auto, Show, Hide",W81
"Dates, Premises",Auto,"Auto, Show, Hide",W82
"Dates, Premises",Unknown_Field_W90,"Auto, Show, Hide",W90
"Dates, Premises",Show,"Auto, Show, Hide",W91
"Dates, Premises",Auto,"Auto, Show, Hide",W92
"Dates, Premises",Auto,"Auto, Show, Hide",W93
"Contracts, History",Property Rights,"Fee Simple, Leased Fee, Leasehold, Sandwich Leasehold, Not Applicable, Groundlease, Condominium, Cooperative, Easement, Life Estate, Subsurface Rights, Timesharing, Transferable Development Right, Undivided Partial Interest, Air Rights, Subterranean rights",G21
"Contracts, History",Unknown,"Fee Simple, Leased Fee, Leasehold, Sandwich Leasehold, Not Applicable, Groundlease, Condominium, Cooperative, Easement, Life Estate, Subsurface Rights, Timesharing, Transferable Development Right, Undivided Partial Interest, Air Rights, Subterranean rights",M21
"Contracts, History",Export Subject to Database,"Listing, Pending Contract, Closed Sale, Appraisal",G39
"Contracts, History",Customize,"Auto, Show, Hide",AC89
"Contracts, History",Hide,"Auto, Show, Hide",AD89
"Contracts, History",Hide,"Auto, Show, Hide",AE89
"Contracts, History",Hide,"Auto, Show, Hide",AF89
"Contracts, History",Hide,"Auto, Show, Hide",AG89
"Contracts, History",Contracts_SaleHistoryTable_Toggle,"Auto, Show, Hide",Z96
"Contracts, History",Show,"Auto, Show, Hide",Z97
"Contracts, History",Show,"Auto, Show, Hide",Z98
"Contracts, History",Hide,"Auto, Show, Hide",Z99
"Contracts, History",Hide,"Auto, Show, Hide",Z100
"Contracts, History",Show,"Auto, Show, Hide",Z101
"Contracts, History",Show,"Auto, Show, Hide",Z102
"Contracts, History",Show,"Auto, Show, Hide",Z103
"Contracts, History",Hide,"Auto, Show, Hide",Z104
"Contracts, History",Hide,"Auto, Show, Hide",Z105
"Contracts, History",Hide,"Auto, Show, Hide",Z106
"Contracts, History",Hide,"Auto, Show, Hide",Z107
"Contracts, History",Auto,"Auto, Show, Hide",Z108
"Contracts, History",Hide,"Auto, Show, Hide",Z109
"Contracts, History",Hide,"Auto, Show, Hide",Z110
"Contracts, History",Hide,"Auto, Show, Hide",Z111
"Contracts, History",Hide,"Auto, Show, Hide",Z112
"Contracts, History",Hide,"Auto, Show, Hide",Z113
"Contracts, History",Unknown_Field_AO121,"Auto, Show, Hide",AO121
"Contracts, History",Auto,"Auto, Show, Hide",AP121
"Contracts, History",Unknown_Field_AL127,"Auto, Show, Hide",AL127
"Contracts, History",Show,"Auto, Show, Hide",AL128
"Contracts, History",Show,"Auto, Show, Hide",AL129
"Contracts, History",Hide,"Auto, Show, Hide",AL130
"Contracts, History",Hide,"Auto, Show, Hide",AL131
"Contracts, History",Show,"Auto, Show, Hide",AL132
"Contracts, History",Show,"Auto, Show, Hide",AL133
"Contracts, History",Show,"Auto, Show, Hide",AL134
"Contracts, History",Hide,"Auto, Show, Hide",AL135
"Contracts, History",Hide,"Auto, Show, Hide",AL136
"Contracts, History",Hide,"Auto, Show, Hide",AL137
"Contracts, History",Hide,"Auto, Show, Hide",AL138
Scope,The intended user(s) of the appraisal is/are the,"property owner, client, client and property owner, client and U.S. Small Business Administration",H17
Scope,A Cost Approach was considered and,"was, was not",H72
Scope,A Sales/Direct Comparison Approach was considered and,"was, was not",H78
Scope,Is this a 'Land Only' appraisal?,"Yes, No, yes, no, NA",H84
Scope,An Income Approach was considered and,"was, was not",H88
Scope,A unit sales approach (Subdivision/Development) was considered and,"was, was not",H92
Scope,An Extraordinary Limiting Condition,"was, was not",H96
Scope,was not,"Per agreement with the client, we have applied only the most applicable valuation method, in this case the xxx approach. While the other approaches may contribute to the analysis, they are ancillary to the primary approach., There are no Extraordinary Limiting Conditions in this appraisal. All applicable approaches have been applied., No interior inspection was made. We have relied on municipal records and xxx to estimate the interior characteristics and condition., No title search was available, therefore have assumed the civic address is accurate and there are no encumbrances on the title that would affect value or marketability.",H98
Scope,Toggle Display,"Auto, Show, Hide",P110
Scope,Auto,"Auto, Show, Hide",P111
Scope,Auto,"Auto, Show, Hide",P112
Scope,Auto,"Auto, Show, Hide",P113
Scope,Auto,"Auto, Show, Hide",P114
Scope,Auto,"Auto, Show, Hide",P115
Scope,Hide,"Auto, Show, Hide",P116
Scope,Property Rights,"Yes,No",V116
Scope,Auto,"Auto, Show, Hide",P117
Scope,Auto,"Auto, Show, Hide",P118
Scope,Auto,"Auto, Show, Hide",P119
Scope,Cost Approach,"Applicable,Not Applicable",Z149
Scope,Not Applicable,"Yes,No",AA149
Scope,Sales Comparison Approach,"Applicable,Not Applicable",Z150
Scope,Applicable,"Yes,No",AA150
Scope,Income Capitalization Approach,"Applicable,Not Applicable",Z151
Scope,Applicable,"Yes,No",AA151
Scope,Is this an Illinois AMC job?,"Yes, No",AY198
Scope,Unknown_Field_AU201,"Auto, Show, Hide",AU201
Scope,Auto,"Auto, Show, Hide",AU202
Scope,Auto,"Auto, Show, Hide",AU203
Scope,Auto,"Auto, Show, Hide",AU204
Scope,Auto,"Auto, Show, Hide",AU205
Scope,Auto,"Auto, Show, Hide",AU206
Scope,Auto,"Auto, Show, Hide",AU207
Scope,Auto,"Auto, Show, Hide",AU208
Scope,Auto,"Auto, Show, Hide",AU209
Scope,Auto,"Auto, Show, Hide",AU210
Scope,Auto,"Auto, Show, Hide",AU211
Scope,Auto,"Auto, Show, Hide",AU212
Scope,Auto,"Auto, Show, Hide",AU213
Scope,Certification Required Language,"Auto, Show, Hide",AU214
Scope,Auto,"Auto, Show, Hide",AU215
Scope,Auto,"Auto, Show, Hide",AU216
Scope,Auto,"Auto, Show, Hide",AU217
Scope,Auto,"Auto, Show, Hide",AU218
Site,Choose Number of Parcels,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",AC12
Site,Show,"Auto, Show, Hide",AD18
Site,Auto,"Auto, Show, Hide",AE18
Site,Auto,"Auto, Show, Hide",AF18
Site,Auto,"Auto, Show, Hide",AG18
Site,Auto,"Auto, Show, Hide",AH18
Site,Auto,"Auto, Show, Hide",AI18
Site,Auto,"Auto, Show, Hide",AJ18
Site,Auto,"Auto, Show, Hide",AK18
Site,Auto,"Auto, Show, Hide",AL18
Site,Auto,"Auto, Show, Hide",AM18
Site,Auto,"Auto, Show, Hide",AN18
Site,Auto,"Auto, Show, Hide",AO18
Site,Auto,"Auto, Show, Hide",AP18
Site,Auto,"Auto, Show, Hide",AQ18
Site,Auto,"Auto, Show, Hide",AR18
Site,Auto,"Auto, Show, Hide",AS18
Site,Auto,"Auto, Show, Hide",AT18
Site,Auto,"Auto, Show, Hide",AU18
Site,Auto,"Auto, Show, Hide",AV18
Site,Multi-Family|Mobile/Manufactured Home Park,"Auto, Show, Hide",A20
Site,Show,"Auto, Show, Hide",B20
Site,Show,"Auto, Show, Hide",C20
Site,Show,"Auto, Show, Hide",D20
Site,Show,"Auto, Show, Hide",E20
Site,Show,"Auto, Show, Hide",F20
Site,Show,"Auto, Show, Hide",G20
Site,Show,"Auto, Show, Hide",H20
Site,Show,"Auto, Show, Hide",I20
Site,Show,"Auto, Show, Hide",J20
Site,Show,"Auto, Show, Hide",K20
Site,Show,"Auto, Show, Hide",L20
Site,Show,"Auto, Show, Hide",R20
Site,Show,"Auto, Show, Hide",A21
Site,Hide,"Auto, Show, Hide",B21
Site,Hide,"Auto, Show, Hide",C21
Site,Hide,"Auto, Show, Hide",D21
Site,Hide,"Auto, Show, Hide",E21
Site,Hide,"Auto, Show, Hide",F21
Site,Hide,"Auto, Show, Hide",G21
Site,Hide,"Auto, Show, Hide",H21
Site,Hide,"Auto, Show, Hide",I21
Site,Hide,"Auto, Show, Hide",J21
Site,Hide,"Auto, Show, Hide",K21
Site,Hide,"Auto, Show, Hide",L21
Site,Hide,"Show,Hide",P21
Site,Show,"Auto, Show, Hide",R21
Site,Location,"Sum,Parcel 1,Concatenate,Unique Values",AA21
Site,Hide,"Auto, Show, Hide",A22
Site,Show,"Auto, Show, Hide",B22
Site,Show,"Auto, Show, Hide",C22
Site,Show,"Auto, Show, Hide",D22
Site,Show,"Auto, Show, Hide",E22
Site,Show,"Auto, Show, Hide",F22
Site,Show,"Auto, Show, Hide",G22
Site,Show,"Auto, Show, Hide",H22
Site,Show,"Auto, Show, Hide",I22
Site,Hide,"Auto, Show, Hide",J22
Site,Show,"Auto, Show, Hide",K22
Site,Show,"Auto, Show, Hide",L22
Site,Show,"Show,Hide",P22
Site,Show,"Auto, Show, Hide",R22
Site,Land Use,"Sum,Parcel 1,Concatenate,Unique Values",AA22
Site,Show,"Auto, Show, Hide",A23
Site,Show,"Auto, Show, Hide",B23
Site,Show,"Auto, Show, Hide",C23
Site,Show,"Auto, Show, Hide",D23
Site,Show,"Auto, Show, Hide",E23
Site,Show,"Auto, Show, Hide",F23
Site,Show,"Auto, Show, Hide",G23
Site,Show,"Auto, Show, Hide",H23
Site,Show,"Auto, Show, Hide",I23
Site,Show,"Auto, Show, Hide",J23
Site,Show,"Auto, Show, Hide",K23
Site,Show,"Auto, Show, Hide",L23
Site,Show,"Show,Hide",P23
Site,Show,"Auto, Show, Hide",R23
Site,Current Use,"Sum,Parcel 1,Concatenate,Unique Values",AA23
Site,Show,"Auto, Show, Hide",A24
Site,Hide,"Auto, Show, Hide",B24
Site,Auto,"Auto, Show, Hide",C24
Site,Auto,"Auto, Show, Hide",D24
Site,Auto,"Auto, Show, Hide",E24
Site,Auto,"Auto, Show, Hide",F24
Site,Auto,"Auto, Show, Hide",G24
Site,Auto,"Auto, Show, Hide",H24
Site,Auto,"Auto, Show, Hide",I24
Site,Hide,"Auto, Show, Hide",J24
Site,Auto,"Auto, Show, Hide",K24
Site,Auto,"Auto, Show, Hide",L24
Site,Auto,"Show,Hide",P24
Site,Show,"Auto, Show, Hide",R24
Site,Proposed Use,"Sum,Parcel 1,Concatenate,Unique Values",AA24
Site,Hide,"Auto, Show, Hide",A25
Site,Show,"Auto, Show, Hide",B25
Site,Show,"Auto, Show, Hide",C25
Site,Show,"Auto, Show, Hide",D25
Site,Show,"Auto, Show, Hide",E25
Site,Show,"Auto, Show, Hide",F25
Site,Show,"Auto, Show, Hide",G25
Site,Show,"Auto, Show, Hide",H25
Site,Show,"Auto, Show, Hide",I25
Site,Show,"Auto, Show, Hide",J25
Site,Show,"Auto, Show, Hide",K25
Site,Show,"Auto, Show, Hide",L25
Site,Show,"Show,Hide",P25
Site,Show,"Auto, Show, Hide",R25
Site,Highest and Best Use Site as Vacant,"Sum,Parcel 1,Concatenate,Unique Values",AA25
Site,Show,"Auto, Show, Hide",A26
Site,Hide,"Auto, Show, Hide",B26
Site,Hide,"Auto, Show, Hide",C26
Site,Hide,"Auto, Show, Hide",D26
Site,Hide,"Auto, Show, Hide",E26
Site,Hide,"Auto, Show, Hide",F26
Site,Hide,"Auto, Show, Hide",G26
Site,Hide,"Auto, Show, Hide",H26
Site,Hide,"Auto, Show, Hide",I26
Site,Hide,"Auto, Show, Hide",J26
Site,Hide,"Auto, Show, Hide",K26
Site,Hide,"Auto, Show, Hide",L26
Site,Hide,"Show,Hide",P26
Site,Hide,"Auto, Show, Hide",R26
Site,Hide,"Auto, Show, Hide",A27
Site,Show,"Auto, Show, Hide",B27
Site,Show,"Auto, Show, Hide",C27
Site,Show,"Auto, Show, Hide",D27
Site,Show,"Auto, Show, Hide",E27
Site,Show,"Auto, Show, Hide",F27
Site,Show,"Auto, Show, Hide",G27
Site,Show,"Auto, Show, Hide",H27
Site,Show,"Auto, Show, Hide",I27
Site,Show,"Auto, Show, Hide",J27
Site,Show,"Auto, Show, Hide",K27
Site,Show,"Auto, Show, Hide",L27
Site,Show,"Show,Hide",P27
Site,Show,"Auto, Show, Hide",R27
Site,Show,"Auto, Show, Hide",A28
Site,Hide,"Auto, Show, Hide",B28
Site,Hide,"Auto, Show, Hide",C28
Site,Hide,"Auto, Show, Hide",D28
Site,Hide,"Auto, Show, Hide",E28
Site,Hide,"Auto, Show, Hide",F28
Site,Hide,"Auto, Show, Hide",G28
Site,Hide,"Auto, Show, Hide",H28
Site,Hide,"Auto, Show, Hide",I28
Site,Hide,"Auto, Show, Hide",J28
Site,Hide,"Auto, Show, Hide",K28
Site,Hide,"Auto, Show, Hide",L28
Site,Hide,"Show,Hide",P28
Site,Hide,"Auto, Show, Hide",R28
Site,Highest and Best Use Comments Site as Improved,"Sum,Parcel 1,Concatenate,Unique Values",AA28
Site,Hide,"Auto, Show, Hide",A29
Site,Hide,"Auto, Show, Hide",B29
Site,Hide,"Auto, Show, Hide",C29
Site,Hide,"Auto, Show, Hide",D29
Site,Hide,"Auto, Show, Hide",E29
Site,Show,"Auto, Show, Hide",F29
Site,Show,"Auto, Show, Hide",G29
Site,Hide,"Auto, Show, Hide",H29
Site,Hide,"Auto, Show, Hide",I29
Site,Hide,"Auto, Show, Hide",J29
Site,Hide,"Auto, Show, Hide",K29
Site,Show,"Auto, Show, Hide",L29
Site,Hide,"Show,Hide",P29
Site,Show,"Auto, Show, Hide",R29
Site,Traffic Count (Primary Frontage),"Sum,Parcel 1,Concatenate,Unique Values",AA29
Site,Hide,"Auto, Show, Hide",A30
Site,Hide,"Auto, Show, Hide",B30
Site,Hide,"Auto, Show, Hide",C30
Site,Hide,"Auto, Show, Hide",D30
Site,Hide,"Auto, Show, Hide",E30
Site,Show,"Auto, Show, Hide",F30
Site,Show,"Auto, Show, Hide",G30
Site,Hide,"Auto, Show, Hide",H30
Site,Hide,"Auto, Show, Hide",I30
Site,Hide,"Auto, Show, Hide",J30
Site,Hide,"Auto, Show, Hide",K30
Site,Hide,"Auto, Show, Hide",L30
Site,Hide,"Show,Hide",P30
Site,Show,"Auto, Show, Hide",R30
Site,Traffic Count (Secondary Frontage),"Sum,Parcel 1,Concatenate,Unique Values",AA30
Site,Hide,"Auto, Show, Hide",A31
Site,Hide,"Auto, Show, Hide",B31
Site,Hide,"Auto, Show, Hide",C31
Site,Hide,"Auto, Show, Hide",D31
Site,Hide,"Auto, Show, Hide",E31
Site,Show,"Auto, Show, Hide",F31
Site,Show,"Auto, Show, Hide",G31
Site,Hide,"Auto, Show, Hide",H31
Site,Hide,"Auto, Show, Hide",I31
Site,Hide,"Auto, Show, Hide",J31
Site,Hide,"Auto, Show, Hide",K31
Site,Hide,"Auto, Show, Hide",L31
Site,Hide,"Show,Hide",P31
Site,Show,"Auto, Show, Hide",R31
Site,Traffic Count (Tertiary Frontage),"Sum,Parcel 1,Concatenate,Unique Values",AA31
Site,Hide,"Auto, Show, Hide",A32
Site,Hide,"Auto, Show, Hide",B32
Site,Hide,"Auto, Show, Hide",C32
Site,Hide,"Auto, Show, Hide",D32
Site,Hide,"Auto, Show, Hide",E32
Site,Show,"Auto, Show, Hide",F32
Site,Show,"Auto, Show, Hide",G32
Site,Hide,"Auto, Show, Hide",H32
Site,Hide,"Auto, Show, Hide",I32
Site,Hide,"Auto, Show, Hide",J32
Site,Hide,"Auto, Show, Hide",K32
Site,Show,"Auto, Show, Hide",L32
Site,Hide,"Show,Hide",P32
Site,Show,"Auto, Show, Hide",R32
Site,Traffic Count Date,"Sum,Parcel 1,Concatenate,Unique Values",AA32
Site,Hide,"Auto, Show, Hide",A33
Site,Show,"Auto, Show, Hide",B33
Site,Show,"Auto, Show, Hide",C33
Site,Show,"Auto, Show, Hide",D33
Site,Show,"Auto, Show, Hide",E33
Site,Show,"Auto, Show, Hide",F33
Site,Show,"Auto, Show, Hide",G33
Site,Show,"Auto, Show, Hide",H33
Site,Show,"Auto, Show, Hide",I33
Site,Show,"Auto, Show, Hide",J33
Site,Show,"Auto, Show, Hide",K33
