Tab Name,Field Name,Input,Calculated,Dropdown,Data Type,Notes,Cell Ref
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I90
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I91
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I92
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I93
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I94
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I95
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I96
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I97
File Info,Hide,No,Yes,No,f,[HIDDEN CELL],I98
File Info,Property Major Type,Yes,No,Yes,s,,I100
File Info,Property Type,Yes,No,Yes,s,,I102
File Info,Unknown_Field_V102,Yes,No,No,f,,V102
File Info,Is there Multi-Family Affordable?,Yes,No,Yes,s,,U104
File Info,Is this a Market Study?,Yes,No,Yes,s,,U108
File Info,Full Address,No,Yes,No,f,[HIDDEN CELL],T112
File Info,Country,Yes,No,Yes,s,,I116
File Info,State Name,No,Yes,No,f,,I120
File Info,HUD Sub-menu,No,Yes,No,f,,R146
File Info,First Last,No,Yes,No,f,,I154
File Info,Client Display Name,No,Yes,No,f,,I158
File Info,Do Client Appraisal Requirements apply?,Yes,No,Yes,s,,I184
File Info,Is FIRREA Language required?,Yes,No,Yes,s,,I186
File Info,Unknown_Field_M190,Yes,No,Yes,s,,M190
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A193
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A194
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A195
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A196
File Info,Company Name,No,Yes,No,f,[HIDDEN CELL],I196
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A197
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A198
File Info,Salutation,No,Yes,No,f,[HIDDEN CELL],I198
File Info,Unknown_Field_A199,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A199
File Info,Unknown_Field_A200,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A200
File Info,First Name,No,Yes,No,f,[HIDDEN CELL],I200
File Info,Unknown_Field_A201,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A201
File Info,Unknown_Field_A202,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A202
File Info,Middle Name,No,Yes,No,f,[HIDDEN CELL],I202
File Info,Unknown_Field_A203,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A203
File Info,Unknown_Field_A204,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A204
File Info,Last Name,No,Yes,No,f,[HIDDEN CELL],I204
File Info,Unknown_Field_A205,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A205
File Info,Unknown_Field_A206,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A206
File Info,Designation,No,Yes,No,f,[HIDDEN CELL],I206
File Info,Unknown_Field_A207,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A207
File Info,Unknown_Field_A208,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A208
File Info,Display Name,No,Yes,No,f,[HIDDEN CELL],I208
File Info,Unknown_Field_A209,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A209
File Info,Unknown_Field_A210,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A210
File Info,Title,No,Yes,No,f,[HIDDEN CELL],I210
File Info,Unknown_Field_A211,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A211
File Info,Unknown_Field_A212,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A212
File Info,Address,No,Yes,No,f,[HIDDEN CELL],I212
File Info,Unknown_Field_A213,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A213
File Info,Unknown_Field_A214,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A214
File Info,Address2,No,Yes,No,f,[HIDDEN CELL],I214
File Info,Unknown_Field_A215,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A215
File Info,Unknown_Field_A216,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A216
File Info,City,No,Yes,No,f,[HIDDEN CELL],I216
File Info,Unknown_Field_A217,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A217
File Info,Unknown_Field_A218,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A218
File Info,State/Province,No,Yes,No,f,[HIDDEN CELL],I218
File Info,Unknown_Field_A219,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A219
File Info,Unknown_Field_A220,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A220
File Info,Zip/Postal Code,No,Yes,No,f,[HIDDEN CELL],I220
File Info,Unknown_Field_A221,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A221
File Info,Unknown_Field_A222,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A222
File Info,Country,No,Yes,No,f,[HIDDEN CELL],I222
File Info,Unknown_Field_A223,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A223
File Info,Unknown_Field_A224,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A224
File Info,Phone Number,No,Yes,No,f,[HIDDEN CELL],I224
File Info,Unknown_Field_A225,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A225
File Info,Unknown_Field_A226,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A226
File Info,Phone Number2,No,Yes,No,f,[HIDDEN CELL],I226
File Info,Unknown_Field_A227,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A227
File Info,Unknown_Field_A228,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A228
File Info,Fax Number,No,Yes,No,f,[HIDDEN CELL],I228
File Info,Unknown_Field_A229,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A229
File Info,Unknown_Field_A230,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A230
File Info,E-mail,No,Yes,No,f,[HIDDEN CELL],I230
File Info,Unknown_Field_A231,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A231
File Info,Unknown_Field_A232,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A232
File Info,Web Site,No,Yes,No,f,[HIDDEN CELL],I232
File Info,Unknown_Field_A233,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A233
File Info,Unknown_Field_A234,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A234
File Info,Unknown_Field_M236,Yes,No,Yes,s,,M236
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A239
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A240
File Info,Title,No,Yes,No,f,[HIDDEN CELL],I240
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A241
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A242
File Info,Company Name,No,Yes,No,f,[HIDDEN CELL],I242
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A243
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A244
File Info,Salutation,No,Yes,No,f,[HIDDEN CELL],I244
File Info,Unknown_Field_A245,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A245
File Info,Unknown_Field_A246,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A246
File Info,First Name,No,Yes,No,f,[HIDDEN CELL],I246
File Info,Unknown_Field_A247,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A247
File Info,Unknown_Field_A248,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A248
File Info,Middle Name,No,Yes,No,f,[HIDDEN CELL],I248
File Info,Unknown_Field_A249,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A249
File Info,Unknown_Field_A250,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A250
File Info,Last Name,No,Yes,No,f,[HIDDEN CELL],I250
File Info,Unknown_Field_A251,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A251
File Info,Unknown_Field_A252,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A252
File Info,First Last,No,Yes,No,f,[HIDDEN CELL],I252
File Info,Unknown_Field_A253,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A253
File Info,Unknown_Field_A254,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A254
File Info,Address,No,Yes,No,f,[HIDDEN CELL],I254
File Info,Unknown_Field_A255,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A255
File Info,Unknown_Field_A256,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A256
File Info,Address2,No,Yes,No,f,[HIDDEN CELL],I256
File Info,Unknown_Field_A257,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A257
File Info,Unknown_Field_A258,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A258
File Info,City,No,Yes,No,f,[HIDDEN CELL],I258
File Info,Unknown_Field_A259,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A259
File Info,Unknown_Field_A260,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A260
File Info,State/Province,No,Yes,No,f,[HIDDEN CELL],I260
File Info,Unknown_Field_A261,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A261
File Info,Unknown_Field_A262,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A262
File Info,Zip/Postal Code,No,Yes,No,f,[HIDDEN CELL],I262
File Info,Unknown_Field_A263,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A263
File Info,Unknown_Field_A264,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A264
File Info,Phone Number,No,Yes,No,f,[HIDDEN CELL],I264
File Info,Unknown_Field_A265,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A265
File Info,Unknown_Field_A266,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A266
File Info,Phone Number2,No,Yes,No,f,[HIDDEN CELL],I266
File Info,Unknown_Field_A267,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A267
File Info,Unknown_Field_A268,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A268
File Info,E-mail,No,Yes,No,f,[HIDDEN CELL],I268
File Info,Unknown_Field_A269,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A269
File Info,Unknown_Field_A270,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A270
File Info,Unknown_Field_A271,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A271
File Info,Unknown_Field_M273,Yes,No,Yes,s,,M273
File Info,This row hidden by default,No,Yes,No,f,[HIDDEN CELL],H275
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A276
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A277
File Info,"If needed, Refresh Data with Appraiser Button in Top-Left of Ribbon.",No,Yes,No,f,,Q277
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A278
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A279
File Info,Display Name,No,Yes,No,f,,I279
File Info,Unknown_Field_Q279,No,Yes,No,f,,Q279
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A280
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A281
File Info,Unknown_Field_A282,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A282
File Info,Unknown_Field_A283,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A283
File Info,Unknown_Field_A284,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A284
File Info,Unknown_Field_A285,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A285
File Info,Unknown_Field_A286,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A286
File Info,Unknown_Field_A287,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A287
File Info,First Last,No,Yes,No,f,,I287
File Info,Unknown_Field_A288,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A288
File Info,Unknown_Field_A289,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A289
File Info,Unknown_Field_A290,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A290
File Info,Unknown_Field_A291,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A291
File Info,Unknown_Field_A292,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A292
File Info,Unknown_Field_A293,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A293
File Info,Unknown_Field_A294,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A294
File Info,Unknown_Field_A295,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A295
File Info,Unknown_Field_A296,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A296
File Info,Unknown_Field_A297,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A297
File Info,Certification State,No,Yes,Yes,f,,I297
File Info,Unknown_Field_A298,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A298
File Info,Unknown_Field_A299,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A299
File Info,Unknown_Field_A300,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A300
File Info,Unknown_Field_A301,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A301
File Info,Unknown_Field_A302,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A302
File Info,Unknown_Field_A303,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A303
File Info,Unknown_Field_A304,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A304
File Info,Unknown_Field_A305,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A305
File Info,Unknown_Field_A306,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A306
File Info,Unknown_Field_A307,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A307
File Info,Appraiser Inspection,Yes,No,Yes,s,,I307
File Info,Unknown_Field_A308,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A308
File Info,Unknown_Field_A309,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A309
File Info,Appraiser Inspection Date,No,Yes,No,f,,I309
File Info,Unknown_Field_A310,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A310
File Info,Unknown_Field_A311,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A311
File Info,Unknown_Field_A312,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A312
File Info,Unknown_Field_A313,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A313
File Info,Unknown_Field_U313,No,Yes,No,f,,U313
File Info,Unknown_Field_A314,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A314
File Info,within the three-year period immediately preceding acceptance of this assignment for,No,Yes,No,f,[HIDDEN CELL],W314
File Info,within the three-year period immediately preceding acceptance of this assignment for,No,Yes,No,f,,X314
File Info,Unknown_Field_A315,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A315
File Info,N1_txtAppraiser1PriorServices,No,Yes,No,f,,U315
File Info,Unknown_Field_A316,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A316
File Info,Unknown_Field_M319,Yes,No,Yes,s,,M319
File Info,Unknown_Field_A321,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A321
File Info,Unknown_Field_A322,No,Yes,No,f,[HIDDEN CELL],A322
File Info,Unknown_Field_A323,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A323
File Info,Unknown_Field_A324,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A324
File Info,Unknown_Field_A325,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A325
File Info,Unknown_Field_A326,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A326
File Info,Unknown_Field_A327,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A327
File Info,Unknown_Field_A328,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A328
File Info,Unknown_Field_A329,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A329
File Info,Unknown_Field_A330,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A330
File Info,Unknown_Field_A331,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A331
File Info,Unknown_Field_A332,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A332
File Info,Unknown_Field_A333,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A333
File Info,Unknown_Field_A334,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A334
File Info,Unknown_Field_A335,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A335
File Info,Unknown_Field_A336,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A336
File Info,Unknown_Field_A337,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A337
File Info,Unknown_Field_A338,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A338
File Info,Unknown_Field_A339,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A339
File Info,Unknown_Field_A340,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A340
File Info,Unknown_Field_A341,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A341
File Info,Unknown_Field_A342,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A342
File Info,Unknown_Field_A343,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A343
File Info,Unknown_Field_M346,Yes,No,Yes,s,,M346
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A349
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A350
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A351
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A352
File Info,Display Name,No,Yes,No,f,,I352
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A353
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A354
File Info,Unknown_Field_A355,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A355
File Info,Unknown_Field_A356,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A356
File Info,Unknown_Field_A357,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A357
File Info,Unknown_Field_A358,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A358
File Info,Unknown_Field_A359,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A359
File Info,Unknown_Field_A360,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A360
File Info,Unknown_Field_A361,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A361
File Info,Unknown_Field_A362,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A362
File Info,Unknown_Field_A363,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A363
File Info,Unknown_Field_A364,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A364
File Info,Unknown_Field_A365,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A365
File Info,Unknown_Field_A366,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A366
File Info,Unknown_Field_A367,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A367
File Info,Unknown_Field_A368,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A368
File Info,Certification State,No,Yes,Yes,f,,I368
File Info,Unknown_Field_A369,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A369
File Info,Unknown_Field_A370,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A370
File Info,Unknown_Field_A371,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A371
File Info,Unknown_Field_A372,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A372
File Info,Unknown_Field_A373,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A373
File Info,Unknown_Field_A374,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A374
File Info,Unknown_Field_A375,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A375
File Info,Unknown_Field_A376,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A376
File Info,Unknown_Field_A377,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A377
File Info,Unknown_Field_A378,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A378
File Info,Unknown_Field_A379,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A379
File Info,Unknown_Field_A380,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A380
File Info,Appraiser Inspection Date,No,Yes,No,f,,I380
File Info,Unknown_Field_A381,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A381
File Info,Unknown_Field_A382,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A382
File Info,Unknown_Field_A383,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A383
File Info,Unknown_Field_A384,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A384
File Info,Unknown_Field_U384,No,Yes,No,f,,U384
File Info,Unknown_Field_A385,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A385
File Info,within the three-year period immediately preceding acceptance of this assignment for,No,Yes,No,f,[HIDDEN CELL],W385
File Info,within the three-year period immediately preceding acceptance of this assignment for,No,Yes,No,f,,X385
File Info,Unknown_Field_A386,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A386
File Info,N1_txtAppraiser2PriorServices,No,Yes,No,f,,U386
File Info,Unknown_Field_A387,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A387
File Info,Unknown_Field_A388,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A388
File Info,Unknown_Field_M390,Yes,No,Yes,s,,M390
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL],A393
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A394
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A395
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A396
File Info,Display Name,No,Yes,No,f,,I396
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A397
File Info,VeryHidden,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A398
File Info,Unknown_Field_A399,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A399
File Info,Unknown_Field_A400,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A400
File Info,Unknown_Field_A401,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A401
File Info,Unknown_Field_A402,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A402
File Info,Unknown_Field_A403,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A403
File Info,Unknown_Field_A404,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A404
File Info,Unknown_Field_A405,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A405
File Info,Unknown_Field_A406,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A406
File Info,Unknown_Field_A407,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A407
File Info,Unknown_Field_A408,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A408
File Info,Unknown_Field_A409,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A409
File Info,Unknown_Field_A410,No,Yes,No,f,[HIDDEN CELL] | [PASS-THROUGH],A410
