Tab Name,Field Name,Formula Logic,Depends On,Cell Ref
File Info,Title,"=IFERROR(IF(HLOOKUP(F240,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F240,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I240
File Info,VeryHidden,=A240,,A241
File Info,VeryHidden,=A241,,A242
File Info,Company Name,"=IFERROR(IF(HLOOKUP(F242,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F242,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I242
File Info,VeryHidden,=A242,,A243
File Info,VeryHidden,=A243,,A244
File Info,Salutation,"=IFERROR(IF(HLOOKUP(F244,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F244,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I244
File Info,Unknown_Field_A245,=A244,,A245
File Info,Unknown_Field_A246,=A245,,A246
File Info,First Name,"=IFERROR(IF(HLOOKUP(F246,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F246,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I246
File Info,Unknown_Field_A247,=A246,,A247
File Info,Unknown_Field_A248,=A247,,A248
File Info,Middle Name,"=IFERROR(IF(HLOOKUP(F248,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F248,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I248
File Info,Unknown_Field_A249,=A248,,A249
File Info,Unknown_Field_A250,=A249,,A250
File Info,Last Name,"=IFERROR(IF(HLOOKUP(F250,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F250,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I250
File Info,Unknown_Field_A251,=A250,,A251
File Info,Unknown_Field_A252,=A251,,A252
File Info,First Last,"=I246&"" ""&I250",,I252
File Info,Unknown_Field_A253,=A252,,A253
File Info,Unknown_Field_A254,=A253,,A254
File Info,Address,"=IFERROR(IF(HLOOKUP(F254,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F254,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I254
File Info,Unknown_Field_A255,=A254,,A255
File Info,Unknown_Field_A256,=A255,,A256
File Info,Address2,"=IFERROR(IF(HLOOKUP(F256,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F256,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I256
File Info,Unknown_Field_A257,=A256,,A257
File Info,Unknown_Field_A258,=A257,,A258
File Info,City,"=IFERROR(IF(HLOOKUP(F258,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F258,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I258
File Info,Unknown_Field_A259,=A258,,A259
File Info,Unknown_Field_A260,=A259,,A260
File Info,State/Province,"=IFERROR(IF(HLOOKUP(F260,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F260,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I260
File Info,Unknown_Field_A261,=A260,,A261
File Info,Unknown_Field_A262,=A261,,A262
File Info,Zip/Postal Code,"=IFERROR(IF(HLOOKUP(F262,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F262,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I262
File Info,Unknown_Field_A263,=A262,,A263
File Info,Unknown_Field_A264,=A263,,A264
File Info,Phone Number,"=IFERROR(IF(HLOOKUP(F264,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F264,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I264
File Info,Unknown_Field_A265,=A264,,A265
File Info,Unknown_Field_A266,=A265,,A266
File Info,Phone Number2,"=IFERROR(IF(HLOOKUP(F266,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F266,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I266
File Info,Unknown_Field_A267,=A266,,A267
File Info,Unknown_Field_A268,=A267,,A268
File Info,E-mail,"=IFERROR(IF(HLOOKUP(F268,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)="""","""",HLOOKUP(F268,CompTableContacts,MATCH(I$238,ContactsList,0)+1,FALSE)),"""")",,I268
File Info,Unknown_Field_A269,=A268,,A269
File Info,Unknown_Field_A270,=A269,,A270
File Info,Unknown_Field_A271,=A270,,A271
File Info,This row hidden by default,"=RIGHT(SelectAppraiser1,3)",,H275
File Info,VeryHidden,"=1/((M273=""Show"")+(M273<>""Hide"")*(I279<>""""))",,A276
File Info,VeryHidden,=A276,,A277
File Info,"If needed, Refresh Data with Appraiser Button in Top-Left of Ribbon.","=SUBSTITUTE(Q289,""MAI"","""")",,Q277
File Info,VeryHidden,=A277,,A278
File Info,VeryHidden,=A278,,A279
File Info,Display Name,"=TEXT(IFERROR(_xlfn.LET(_xlpm.selApp, AppraiserSelected1, _xlpm.pracAff,FIND(""practicing affiliate"", LOWER(_xlpm.selApp)),IF(NOT(ISERROR(_xlpm.pracAff)),LEFT(_xlpm.selApp,_xlpm.pracAff-3),_xlpm.selApp)),""""),""#"")",,I279
File Info,Unknown_Field_Q279,"=SUBSTITUTE(Q291,""MAI"","""")",,Q279
File Info,VeryHidden,=A279,,A280
File Info,VeryHidden,=A280,,A281
File Info,Unknown_Field_A282,=A281,,A282
File Info,Unknown_Field_A283,=A282,,A283
File Info,Unknown_Field_A284,=A283,,A284
File Info,Unknown_Field_A285,=A284,,A285
File Info,Unknown_Field_A286,=A285,,A286
File Info,Unknown_Field_A287,=A286,,A287
File Info,First Last,"=_N1AppraiserFirstName&"" "" &_N1AppraiserLastName",,I287
File Info,Unknown_Field_A288,=A287,,A288
File Info,Unknown_Field_A289,=A288,,A289
File Info,Unknown_Field_A290,=A289,,A290
File Info,Unknown_Field_A291,=A290,,A291
File Info,Unknown_Field_A292,=A291,,A292
File Info,Unknown_Field_A293,=A292,,A293
File Info,Unknown_Field_A294,=A293,,A294
File Info,Unknown_Field_A295,=A294,,A295
File Info,Unknown_Field_A296,=A295,,A296
File Info,Unknown_Field_A297,=A296,,A297
File Info,Certification State,"=_xlfn.LET(_xlpm.stateList,Appraiser1_State,_xlpm.displayName, AppraiserSelected1, _xlpm.chosenState,IF(_xlpm.displayName="""","""",TEXT(IFERROR(N1DBProvince,""""),""#"")),_xlpm.validState,MATCH(_xlpm.chosenState,_xlpm.stateList,0),IF(ISERROR(_xlpm.validState),"""",_xlpm.chosenState))",,I297
File Info,Unknown_Field_A298,=A297,,A298
File Info,Unknown_Field_A299,=A298,,A299
File Info,Unknown_Field_A300,=A299,,A300
File Info,Unknown_Field_A301,=A300,,A301
File Info,Unknown_Field_A302,=A301,,A302
File Info,Unknown_Field_A303,=A302,,A303
File Info,Unknown_Field_A304,=A303,,A304
File Info,Unknown_Field_A305,=A304,,A305
File Info,Unknown_Field_A306,=A305,,A306
File Info,Unknown_Field_A307,=A306,,A307
File Info,Unknown_Field_A308,=A307,,A308
File Info,Unknown_Field_A309,=A308,,A309
File Info,Appraiser Inspection Date,"=IF(N1Appraiser1Inspection=""has"",N1InspectionDate,"""")",,I309
File Info,Unknown_Field_A310,=A309,,A310
File Info,Unknown_Field_A311,=A310,,A311
File Info,Unknown_Field_A312,=A311,,A312
File Info,Unknown_Field_A313,=A312,,A313
File Info,Unknown_Field_U313,"=IFERROR(INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(N1Appraiser1PriorServicesYesNo,tblPriorSvcSentences[Prior Services YesNo],0)),INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(""No"",tblPriorSvcSentences[Prior Services YesNo],0)))",,U313
File Info,Unknown_Field_A314,=A313,,A314
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IFERROR(INDEX(Table104[PS Number Sentence],MATCH(N1Appraiser1PriorServicesTimes,Table104[PS Number],0)),"""")",,W314
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IF(N1Appraiser1PriorServicesClient=""Different Client"",""a different client."",""the same client."")",,X314
File Info,Unknown_Field_A315,=A314,,A315
File Info,N1_txtAppraiser1PriorServices,"=IF(N1AppraiserDisplayName="""","""",IF(N1Appraiser1PriorServicesYesNo<>""Yes"",N1AppraiserDisplayName&"" ""&U313,N1AppraiserDisplayName&"" ""&U313&W314&"" ""&V314&X314))",,U315
File Info,Unknown_Field_A316,=A315,,A316
File Info,Unknown_Field_A321,=A322,,A321
File Info,Unknown_Field_A322,"=1/((M319=""Show"")+(M319<>""Hide""))",,A322
File Info,Unknown_Field_A323,=A322,,A323
File Info,Unknown_Field_A324,=A323,,A324
File Info,Unknown_Field_A325,=A324,,A325
File Info,Unknown_Field_A326,=A325,,A326
File Info,Unknown_Field_A327,=A326,,A327
File Info,Unknown_Field_A328,=A327,,A328
File Info,Unknown_Field_A329,=A328,,A329
File Info,Unknown_Field_A330,=A329,,A330
File Info,Unknown_Field_A331,=A330,,A331
File Info,Unknown_Field_A332,=A331,,A332
File Info,Unknown_Field_A333,=A332,,A333
File Info,Unknown_Field_A334,=A333,,A334
File Info,Unknown_Field_A335,=A334,,A335
File Info,Unknown_Field_A336,=A335,,A336
File Info,Unknown_Field_A337,=A336,,A337
File Info,Unknown_Field_A338,=A337,,A338
File Info,Unknown_Field_A339,=A338,,A339
File Info,Unknown_Field_A340,=A339,,A340
File Info,Unknown_Field_A341,=A340,,A341
File Info,Unknown_Field_A342,=A341,,A342
File Info,Unknown_Field_A343,=A342,,A343
File Info,VeryHidden,"=1/((M346=""Show"")+(M346<>""Hide"")*(I352<>""""))",,A349
File Info,VeryHidden,=A347,,A350
File Info,VeryHidden,=A350,,A351
File Info,VeryHidden,=A349,,A352
File Info,Display Name,"=TEXT(IFERROR(_xlfn.LET(_xlpm.selApp, AppraiserSelected2, _xlpm.pracAff,FIND(""practicing affiliate"", LOWER(_xlpm.selApp)),IF(NOT(ISERROR(_xlpm.pracAff)),LEFT(_xlpm.selApp,_xlpm.pracAff-3),_xlpm.selApp)),""""),""#"")",,I352
File Info,VeryHidden,=A352,,A353
File Info,VeryHidden,=A353,,A354
File Info,Unknown_Field_A355,=A354,,A355
File Info,Unknown_Field_A356,=A355,,A356
File Info,Unknown_Field_A357,=A356,,A357
File Info,Unknown_Field_A358,=A357,,A358
File Info,Unknown_Field_A359,=A358,,A359
File Info,Unknown_Field_A360,=A359,,A360
File Info,Unknown_Field_A361,=A360,,A361
File Info,Unknown_Field_A362,=A361,,A362
File Info,Unknown_Field_A363,=A362,,A363
File Info,Unknown_Field_A364,=A363,,A364
File Info,Unknown_Field_A365,=A364,,A365
File Info,Unknown_Field_A366,=A365,,A366
File Info,Unknown_Field_A367,=A366,,A367
File Info,Unknown_Field_A368,=A367,,A368
File Info,Certification State,"=_xlfn.LET(_xlpm.stateList,Appraiser2_State,_xlpm.displayName, AppraiserSelected2, _xlpm.chosenState,IF(_xlpm.displayName="""","""",TEXT(IFERROR(N1DBProvince,""""),""#"")),_xlpm.validState,MATCH(_xlpm.chosenState,_xlpm.stateList,0),IF(ISERROR(_xlpm.validState),"""",_xlpm.chosenState))",,I368
File Info,Unknown_Field_A369,=A368,,A369
File Info,Unknown_Field_A370,=A369,,A370
File Info,Unknown_Field_A371,=A370,,A371
File Info,Unknown_Field_A372,=A371,,A372
File Info,Unknown_Field_A373,=A372,,A373
File Info,Unknown_Field_A374,=A373,,A374
File Info,Unknown_Field_A375,=A374,,A375
File Info,Unknown_Field_A376,=A375,,A376
File Info,Unknown_Field_A377,=A376,,A377
File Info,Unknown_Field_A378,=A377,,A378
File Info,Unknown_Field_A379,=A378,,A379
File Info,Unknown_Field_A380,=A379,,A380
File Info,Appraiser Inspection Date,"=IF(N1Appraiser2Inspection=""has"",N1InspectionDate,"""")",,I380
File Info,Unknown_Field_A381,=A380,,A381
File Info,Unknown_Field_A382,=A381,,A382
File Info,Unknown_Field_A383,=A382,,A383
File Info,Unknown_Field_A384,=A383,,A384
File Info,Unknown_Field_U384,"=IFERROR(INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(N1Appraiser2PriorServicesYesNo,tblPriorSvcSentences[Prior Services YesNo],0)),INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(""No"",tblPriorSvcSentences[Prior Services YesNo],0)))",,U384
File Info,Unknown_Field_A385,=A384,,A385
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IFERROR(INDEX(Table104[PS Number Sentence],MATCH(N1Appraiser2PriorServicesTimes,Table104[PS Number],0)),"""")",,W385
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IF(N1Appraiser2PriorServicesClient=""Different Client"",""a different client."",""the same client."")",,X385
File Info,Unknown_Field_A386,=A385,,A386
File Info,N1_txtAppraiser2PriorServices,"=IF(N1Appraiser2DisplayName="""","""",IF(N1Appraiser2PriorServicesYesNo<>""Yes"",N1Appraiser2DisplayName&"" ""&U384,N1Appraiser2DisplayName&"" ""&U384&W385&"" ""&V385&X385))",,U386
File Info,Unknown_Field_A387,=A386,,A387
File Info,Unknown_Field_A388,=A387,,A388
File Info,VeryHidden,"=1/((M390=""Show"")+(M390<>""Hide"")*(I396<>""""))",,A393
File Info,VeryHidden,=A391,,A394
File Info,VeryHidden,=A394,,A395
File Info,VeryHidden,=A393,,A396
File Info,Display Name,"=TEXT(IFERROR(_xlfn.LET(_xlpm.selApp, AppraiserSelected3, _xlpm.pracAff,FIND(""practicing affiliate"", LOWER(_xlpm.selApp)),IF(NOT(ISERROR(_xlpm.pracAff)),LEFT(_xlpm.selApp,_xlpm.pracAff-3),_xlpm.selApp)),""""),""#"")",,I396
File Info,VeryHidden,=A396,,A397
File Info,VeryHidden,=A397,,A398
File Info,Unknown_Field_A399,=A398,,A399
File Info,Unknown_Field_A400,=A399,,A400
File Info,Unknown_Field_A401,=A400,,A401
File Info,Unknown_Field_A402,=A401,,A402
File Info,Unknown_Field_A403,=A402,,A403
File Info,Unknown_Field_A404,=A403,,A404
File Info,Unknown_Field_A405,=A404,,A405
File Info,Unknown_Field_A406,=A405,,A406
File Info,Unknown_Field_A407,=A406,,A407
File Info,Unknown_Field_A408,=A407,,A408
File Info,Unknown_Field_A409,=A408,,A409
File Info,Unknown_Field_A410,=A409,,A410
File Info,Unknown_Field_A411,=A410,,A411
File Info,Unknown_Field_A412,=A411,,A412
File Info,Certification State,"=_xlfn.LET(_xlpm.stateList,Appraiser3_State,_xlpm.displayName, AppraiserSelected3, _xlpm.chosenState,IF(_xlpm.displayName="""","""",TEXT(IFERROR(N1DBProvince,""""),""#"")),_xlpm.validState,MATCH(_xlpm.chosenState,_xlpm.stateList,0),IF(ISERROR(_xlpm.validState),"""",_xlpm.chosenState))",,I412
File Info,Unknown_Field_A413,=A412,,A413
File Info,Unknown_Field_A414,=A413,,A414
File Info,Unknown_Field_A415,=A414,,A415
File Info,Unknown_Field_A416,=A415,,A416
File Info,Unknown_Field_A417,=A416,,A417
File Info,Unknown_Field_A418,=A417,,A418
File Info,Unknown_Field_A419,=A418,,A419
File Info,Unknown_Field_A420,=A419,,A420
File Info,Unknown_Field_A421,=A420,,A421
File Info,Unknown_Field_A422,=A421,,A422
File Info,Unknown_Field_A423,=A422,,A423
File Info,Unknown_Field_A424,=A423,,A424
File Info,Appraiser Inspection Date,"=IF(N1Appraiser3Inspection=""has"",N1InspectionDate,"""")",,I424
File Info,Unknown_Field_A425,=A424,,A425
File Info,Unknown_Field_A426,=A425,,A426
File Info,Unknown_Field_A427,=A426,,A427
File Info,Unknown_Field_A428,=A427,,A428
File Info,Unknown_Field_U428,"=IFERROR(INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(N1Appraiser3PriorServicesYesNo,tblPriorSvcSentences[Prior Services YesNo],0)),INDEX(tblPriorSvcSentences[Prior Services Sentence],MATCH(""No"",tblPriorSvcSentences[Prior Services YesNo],0)))",,U428
File Info,Unknown_Field_A429,=A428,,A429
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IFERROR(INDEX(Table104[PS Number Sentence],MATCH(N1Appraiser3PriorServicesTimes,Table104[PS Number],0)),"""")",,W429
File Info,within the three-year period immediately preceding acceptance of this assignment for,"=IF(N1Appraiser3PriorServicesClient=""Different Client"",""a different client."",""the same client."")",,X429
File Info,Unknown_Field_A430,=A429,,A430
File Info,N1_txtAppraiser3PriorServices,"=IF(N1Appraiser3DisplayName="""","""",IF(N1Appraiser3PriorServicesYesNo<>""Yes"",N1Appraiser3DisplayName&"" ""&U428,N1Appraiser3DisplayName&"" ""&U428&W429&"" ""&V429&X429))",,U430
File Info,Unknown_Field_A431,=A430,,A431
File Info,Unknown_Field_A432,=A431,,A432
File Info,VeryHidden,"=1/((M434=""Show"")+(M434<>""Hide"")*(I440<>""""))",,A437
File Info,VeryHidden,=A435,,A438
File Info,VeryHidden,=A438,,A439
File Info,VeryHidden,=A437,,A440
File Info,Display Name,"=TEXT(IFERROR(_xlfn.LET(_xlpm.selApp, AppraiserSelected4, _xlpm.pracAff,FIND(""practicing affiliate"", LOWER(_xlpm.selApp)),IF(NOT(ISERROR(_xlpm.pracAff)),LEFT(_xlpm.selApp,_xlpm.pracAff-3),_xlpm.selApp)),""""),""#"")",,I440
File Info,VeryHidden,=A440,,A441
File Info,VeryHidden,=A441,,A442
File Info,Unknown_Field_A443,=A442,,A443
