Named Range,Sheet,Cell,Reference
_NavImproved_Comp_4,Sales Grid,$FU$975,'Sales Grid'!$FU$975
_NavImproved_Comp_5,Sales Grid,$FU$1080,'Sales Grid'!$FU$1080
_NavImproved_Comp_6,Sales Grid,$FU$1185,'Sales Grid'!$FU$1185
_NavImproved_Comp_7,Sales Grid,$FU$1290,'Sales Grid'!$FU$1290
_NavImproved_Comp_8,Sales Grid,$FU$1395,'Sales Grid'!$FU$1395
_NavImproved_Comp_9,Sales Grid,$FU$1500,'Sales Grid'!$FU$1500
_NavImproved_Comp_Multiuse_Table,Sales Grid,$CU$499,'Sales Grid'!$CU$499
_NavImproved_Comp_Summary_Table,Sales Grid,$BZ$456,'Sales Grid'!$BZ$456
_NavImproved_Comp_Table,Sales Grid,$A$1711,'Sales Grid'!$A$1711
_NavImproved_Comp_Unit_Features_Project_Amenities,Sales Grid,$EZ$561,'Sales Grid'!$EZ$561
_NavImproved_Sales_Grid,Sales Grid,$A$1,'Sales Grid'!$A$1
_navImprovements_NoOfBuildingsSummary,Improvements,$W$12,Improvements!$W$12
_NavIncExp_Subject_Data_Export,Income-Expense Summary,$DG$151,'Income-Expense Summary'!$DG$151
_NavIncome_and_Expense_Chart,Income-Expense Summary,$CI$114,'Income-Expense Summary'!$CI$114
_NavIncome_Approach_Reconciliation,Capitalization and Multipliers,$A$364,'Capitalization and Multipliers'!$A$364
_NavIncome_Summary,Income-Expense Summary,$A$1,'Income-Expense Summary'!$A$1
_NavInformation_Sources,Scope,$A$56,Scope!$A$56
_NavInsurable_Value_Table,Cost,$AE$233,Cost!$AE$233
_NavInsurance_Exp_Analysis,Expense Grid,$BO$109,'Expense Grid'!$BO$109
_NavInterior,Improvements,$O$156,Improvements!$O$156
_NavInvestor_Surveys,Capitalization and Multipliers,$C$175,'Capitalization and Multipliers'!$C$175
_NavLand_Auto_Adjustment_Sentences,Land Grid,$BE$182,'Land Grid'!$BE$182
_NavLand_Comp_1,Land Grid,$CO$503,'Land Grid'!$CO$503
_NavLand_Comp_10,Land Grid,$CO$1020,'Land Grid'!$CO$1020
_NavLand_Comp_2,Land Grid,$CO$572,'Land Grid'!$CO$572
_NavLand_Comp_3,Land Grid,$CO$628,'Land Grid'!$CO$628
_NavLand_Comp_4,Land Grid,$CO$684,'Land Grid'!$CO$684
_NavLand_Comp_5,Land Grid,$CO$740,'Land Grid'!$CO$740
_NavLand_Comp_6,Land Grid,$CO$796,'Land Grid'!$CO$796
_NavLand_Comp_7,Land Grid,$CO$852,'Land Grid'!$CO$852
_NavLand_Comp_8,Land Grid,$CO$908,'Land Grid'!$CO$908
_NavLand_Comp_9,Land Grid,$CO$964,'Land Grid'!$CO$964
_NavLand_Comp_Sheet_Setup,Land Grid,$CO$501,'Land Grid'!$CO$501
_NavLand_Comp_Summary_Table,Land Grid,$BT$458,'Land Grid'!$BT$458
_NavLand_Comp_Table,Land Grid,$A$1073,'Land Grid'!$A$1073
_NavLand_Grid,Land Grid,$A$1,'Land Grid'!$A$1
_NavLand_Grid_Comp_Rank,Land Grid,$AI$155,'Land Grid'!$AI$155
_NavLand_Grid_Values,Land Grid,$A$101,'Land Grid'!$A$101
_NavLease_Auto_Adjustment_Sentences,Lease Grid,$BE$184,'Lease Grid'!$BE$184
_NavLease_Comp_1,Lease Grid,$FB$1084,'Lease Grid'!$FB$1084
_NavLease_Comp_10,Lease Grid,$FB$2244,'Lease Grid'!$FB$2244
_NavLease_Comp_2,Lease Grid,$FB$1228,'Lease Grid'!$FB$1228
_NavLease_Comp_3,Lease Grid,$FB$1355,'Lease Grid'!$FB$1355
_NavLease_Comp_4,Lease Grid,$FB$1482,'Lease Grid'!$FB$1482
_NavLease_Comp_5,Lease Grid,$FB$1609,'Lease Grid'!$FB$1609
_NavLease_Comp_6,Lease Grid,$FB$1736,'Lease Grid'!$FB$1736
_NavLease_Comp_7,Lease Grid,$FB$1863,'Lease Grid'!$FB$1863
_NavLease_Comp_8,Lease Grid,$FB$1990,'Lease Grid'!$FB$1990
_NavLease_Comp_9,Lease Grid,$FB$2117,'Lease Grid'!$FB$2117
_NavLease_Comp_Sheet_Setup,Lease Grid,$FB$1082,'Lease Grid'!$FB$1082
_NavLease_Comp_Table,Lease Grid,$A$2448,'Lease Grid'!$A$2448
_NavLease_Expirations,Rent Roll,$GL$640,'Rent Roll'!$GL$640
_NavLease_Grid,Lease Grid,$A$1,'Lease Grid'!$A$1
_NavLease_Grid_Comp_Rank,Lease Grid,$AI$162,'Lease Grid'!$AI$162
_NavLease_Grid_Values,Lease Grid,$A$122,'Lease Grid'!$A$122
_NavLeasing_Commissions_Exp_Analysis,Expense Grid,$BO$842,'Expense Grid'!$BO$842
_navListPrice,"Contracts, History",$G$15,"'Contracts, History'!$G$15"
_NavMaintenance_Salaries_Exp_Analysis,Expense Grid,$BO$633,'Expense Grid'!$BO$633
_NavMajor_Tenants,Rent Roll,$FZ$618,'Rent Roll'!$FZ$618
_NavManagement_Exp_Analysis,Expense Grid,$BO$161,'Expense Grid'!$BO$161
_NavMarket_Analytics,Market Analytics,$A$1,'Market Analytics'!$A$1
_NavMarket_and_HBU_Analyses,Scope,$A$52,Scope!$A$52
_NavMarket_Area_Analysis,Market Area,$A$1,'Market Area'!$A$1
_NavMarket_Rent_Summary,Rent Roll,$DJ$312,'Rent Roll'!$DJ$312
_NavMechanical,Improvements,$O$172,Improvements!$O$172
_NavMethods,Scope,$A$67,Scope!$A$67
_NavMF_HUD_Form,Lease Grid,$FW$2373,'Lease Grid'!$FW$2373
_NavMgmt_Leasing_Salaries_Exp_Analysis,Expense Grid,$BO$607,'Expense Grid'!$BO$607
_NavMultifamily_Amenities,Improvements,$EC$737,Improvements!$EC$737
_NavMultifamily_Inventory,Improvements,$CV$464,Improvements!$CV$464
_NavMultifamily_Lease_Comparison_Tables,Lease Grid,$DE$663,'Lease Grid'!$DE$663
_NavMultifamily_Utilities_Paid_By_Owner,Lease Grid,$CT$642,'Lease Grid'!$CT$642
_NavNIM_Analysis,Capitalization and Multipliers,$A$323,'Capitalization and Multipliers'!$A$323
_NavNon_Revenue_Units_Exp_Analysis,Expense Grid,$BO$790,'Expense Grid'!$BO$790
_navNumberOfParcels,Site,$Y$12,Site!$Y$12
_NavOccupancy,Rent Roll,$EB$374,'Rent Roll'!$EB$374
_NavOnSite_Management_Exp_Analysis,Expense Grid,$BO$135,'Expense Grid'!$BO$135
_NavOther_Exp_Analysis,Expense Grid,$BO$816,'Expense Grid'!$BO$816
_NavOther_Repairs_Exp_Analysis,Expense Grid,$BO$423,'Expense Grid'!$BO$423
_NavOther_Salaries_Exp_Analysis,Expense Grid,$BO$660,'Expense Grid'!$BO$660
_NavPainting_and_Decorating_Exp_Analysis,Expense Grid,$BO$501,'Expense Grid'!$BO$501
_navPartnerJobID,File Info,$I$13,'File Info'!$I$13
_NavPayroll_Exp_Analysis,Expense Grid,$BO$710,'Expense Grid'!$BO$710
_NavPotential_Gross_Income,Rent Roll,$GV$719,'Rent Roll'!$GV$719
_NavPrior_Services,"Dates, Premises",$A$57,"'Dates, Premises'!$A$57"
_NavPro_Forma,Capitalization and Multipliers,$A$1,'Capitalization and Multipliers'!$A$1
_NavProfessional_Services_Exp_Analysis,Expense Grid,$BO$554,'Expense Grid'!$BO$554
_NavProperty_Contact,File Info,$B$238,'File Info'!$B$238
_NavProperty_Identification,Scope,$A$43,Scope!$A$43
_NavProperty_Info,File Info,$B$87,'File Info'!$B$87
_NavProperty_Inspection_Table,File Info,$Q$495,'File Info'!$Q$495
_NavRE_Assessment_Analysis,Assessment,$CI$129,Assessment!$CI$129
_NavRecent_Leases,Rent Roll,$EY$457,'Rent Roll'!$EY$457
_NavReconciled_Cap_Rates,Capitalization and Multipliers,$C$205,'Capitalization and Multipliers'!$C$205
_NavRent_Ranges,Rent Roll,$FM$563,'Rent Roll'!$FM$563
_NavRent_Roll,Rent Roll,$A$1,'Rent Roll'!$A$1
_NavRepairs_And_Maintenance_Exp_Analysis,Expense Grid,$BO$449,'Expense Grid'!$BO$449
_navReport_Date,"Dates, Premises",$I$13,"'Dates, Premises'!$I$13"
_NavReport_Type,Scope,$A$23,Scope!$A$23
_NavReserve_Exp_Analysis,Expense Grid,$BO$921,'Expense Grid'!$BO$921
_navRevenueUnitSetup,Revenue Unit Setup,$B$1,'Revenue Unit Setup'!$B$1
_NavRoads_and_Grounds_Exp_Analysis,Expense Grid,$BO$764,'Expense Grid'!$BO$764
_navRR_Input,Rent Roll Input,$A$2,'Rent Roll Input'!$A$2
_navRR_Master,Rent Roll Master,$D$3,'Rent Roll Master'!$D$3
_NavSale_Grid_Comp_Rank,Sales Grid,$AH$152,'Sales Grid'!$AH$152
_NavSale_History_Table,"Contracts, History",$W$87,"'Contracts, History'!$W$87"
_NavSales_Auto_Adjustment_Sentences,Sales Grid,$BD$179,'Sales Grid'!$BD$179
_NavSales_Grid_Values,Sales Grid,$A$100,'Sales Grid'!$A$100
_NavScope,Scope,$A$1,Scope!$A$1
_NavScope_Display_Tables,Scope,$O$103,Scope!$O$103
_navScopeDisplayTables,Scope,$R$104,Scope!$R$104
_navScopeProblemToBeSolved,Scope,$H$13,Scope!$H$13
_navScopePropertyID,Scope,$H$47,Scope!$H$47
_NavSecurity_Exp_Analysis,Expense Grid,$BO$738,'Expense Grid'!$BO$738
_NavSewer_Exp_Analysis,Expense Grid,$BO$265,'Expense Grid'!$BO$265
_NavSF_Residential,Improvements,$O$192,Improvements!$O$192
_navSF_Type,Values,$G$10,Values!$G$10
_NavSignature_Block,File Info,$AJ$532,'File Info'!$AJ$532
_NavSite_Area_Categorization,Site,$DS$329,Site!$DS$329
_NavSite_Input_Table,Site,$O$1,Site!$O$1
_NavSite_Summary_Table,Site,$CR$296,Site!$CR$296
_NavStabilization_Calculations,Rent Roll,$IR$800,'Rent Roll'!$IR$800
_NavSubject_Commercial_Lease_Summary,Summary,$M$354,Summary!$M$354
_NavSubject_Data_Import_Table,File Info,$B$934,'File Info'!$B$934
_NavSubject_Lodging_And_Hospitality_Summary,Summary,$DS$644,Summary!$DS$644
_NavSubject_Senior_Housing_Summary,Summary,$DH$623,Summary!$DH$623
_NavSubject_Summary,Summary,$B$1,Summary!$B$1
_NavSubject_Unit_Lease_Summary,Summary,$CI$480,Summary!$CI$480
_navSubjectName,File Info,$I$87,'File Info'!$I$87
_NavSubmarket_Analytics,Submarket Analytics,$A$1,'Submarket Analytics'!$A$1
_NavTax_Comps_Analysis,Assessment,$EA$206,Assessment!$EA$206
_NavTax_Exp_Analysis,Expense Grid,$BO$82,'Expense Grid'!$BO$82
_NavTax_History_Table,Assessment,$DE$162,Assessment!$DE$162
_NavTax_Summary_Table,Assessment,$AJ$60,Assessment!$AJ$60
_NavTenant_Improvements_Exp_Analysis,Expense Grid,$BO$868,'Expense Grid'!$BO$868
_NavThe_Insight,Market Analytics,$BM$555,'Market Analytics'!$BM$555
_NavTotal_Utilities_Exp_Analysis,Expense Grid,$BO$371,'Expense Grid'!$BO$371
_NavTrash_Exp_Analysis,Expense Grid,$BO$344,'Expense Grid'!$BO$344
_NavUnit_Feat._and_Proj._Amen._Checklist,Improvements,$DS$502,Improvements!$DS$502
_NavUnit_Features_Comparison,Lease Grid,$EC$983,'Lease Grid'!$EC$983
_NavUnit_Lease_Rent_Roll,Rent Roll,$A$252,'Rent Roll'!$A$252
_NavValuation_Data_Capture,Valuation,$A$1,Valuation!$A$1
_NavValue_Conclusions_Table,Values,$AJ$115,Values!$AJ$115
_NavValue_Indications,Values,$A$1,Values!$A$1
_NavValue_Summary_Table,Values,$S$91,Values!$S$91
_NavVertical_Building_Summary,Improvements,$BF$214,Improvements!$BF$214
_NavVertical_Site_Summary,Site,$BQ$152,Site!$BQ$152
_NavWater_Exp_Analysis,Expense Grid,$BO$239,'Expense Grid'!$BO$239
_navZoning_Authority,Zoning,$Z$20,Zoning!$Z$20
_NavZoning_Items,Zoning,$O$1,Zoning!$O$1
_NavZoning_Summary,Zoning,$BE$46,Zoning!$BE$46
_Office,Property Types,$B$130:$B$140,'Property Types'!$B$130:$B$140
_Office_Medical_Office,Property Types,$C$141,'Property Types'!$C$141
_Office_Mixed_Use,Property Types,$C$131:$C$135,'Property Types'!$C$131:$C$135
_Office_Office_Building,Property Types,$C$137:$C$139,'Property Types'!$C$137:$C$139
_Other,Property Types,$C$198:$C$203,'Property Types'!$C$198:$C$203
_Parking_Facility,Property Types,$C$159:$C$160,'Property Types'!$C$159:$C$160
_Processing,Property Types,$C$64:$C$69,'Property Types'!$C$64:$C$69
_Property_Types,Property Types,$B$4:$B$17,'Property Types'!$B$4:$B$17
_PropertyMajorType,File Info,$I$100,'File Info'!$I$100
_Racetrack,Property Types,$C$269:$C$271,'Property Types'!$C$269:$C$271
_Rehabilitation_Center_Hospital,Property Types,$C$50,'Property Types'!$C$50
_Residential,Property Types,$B$284:$B$299,'Property Types'!$B$284:$B$299
_Restaurant,Property Types,$C$162:$C$165,'Property Types'!$C$162:$C$165
_Retail_Commercial,Property Types,$B$144:$B$161,'Property Types'!$B$144:$B$161
_Retail_Commercial_Mixed_Use,Property Types,$C$155:$C$157,'Property Types'!$C$155:$C$157
_SalesGridCompsUsed,Sales Grid,$F$16,'Sales Grid'!$F$16
_Senior_Housing,Property Types,$B$184:$B$190,'Property Types'!$B$184:$B$190
_Shopping_Center,Property Types,$B$214:$B$223,'Property Types'!$B$214:$B$223
_Skilled_Nursing_Facility,Property Types,$C$210:$C$211,'Property Types'!$C$210:$C$211
_Special_Purpose,Property Types,$B$226:$B$251,'Property Types'!$B$226:$B$251
_Sport_Entertainment,Property Types,$B$254:$B$266,'Property Types'!$B$254:$B$266
_Sports_Arena_Stadium,Property Types,$C$273:$C$274,'Property Types'!$C$273:$C$274
_Student_Oriented_Housing,Property Types,$C$116:$C$118,'Property Types'!$C$116:$C$118
_TaxGridCompsUsed,Assessment,$EE$214,Assessment!$EE$214
_Theatre_Performing_Art,Property Types,$C$276:$C$281,'Property Types'!$C$276:$C$281
_Vehicle_Related,Property Types,$C$172:$C$181,'Property Types'!$C$172:$C$181
_Warehouse,Property Types,$C$71:$C$75,'Property Types'!$C$71:$C$75
_Water_Related,Property Types,$C$89:$C$91,'Property Types'!$C$89:$C$91
AdditionalDatesPremises,"Dates, Premises",$F$26:$F$32,"'Dates, Premises'!$F$26:$F$32"
AdditionalPremises,Values,$F$75:$F$81,Values!$F$75:$F$81
AdjustedPrice,Sales Grid,$I$94:$J$94,'Sales Grid'!$I$94:$J$94
AdjustedPriceNetGross,Land Grid,$F$96:$F$97,'Land Grid'!$F$96:$F$97
AgriculturalSectionShowHide,Site,$P$137:$P$147,Site!$P$137:$P$147
AllBuildingsDescription,Improvements,$AA$20:$AB$50,Improvements!$AA$20:$AB$50
AnalysisYear,Market Analytics,$J$21,'Market Analytics'!$J$21
Analytics_Import,Market Analytics,$B$17,'Market Analytics'!$B$17
Analytics_Nav,Market Analytics,$B$8,'Market Analytics'!$B$8
Analytics_Toggle,Market Analytics,$B$24,'Market Analytics'!$B$24
AnalyticsClass,Market Analytics,$AK$17,'Market Analytics'!$AK$17
AnalyticsInsight_Copy,Market Analytics,$BQ$586,'Market Analytics'!$BQ$586
AnalyticsInsight_Nav,Market Analytics,$BN$556,'Market Analytics'!$BN$556
AnalyticsYear,Market Analytics,$AI$28:$AI$178,'Market Analytics'!$AI$28:$AI$178
AppPremisesRange,Lists,$EV$2:$EV$7,Lists!$EV$2:$EV$7
AppraisalDates,"Dates, Premises",$G$23:$G$32,"'Dates, Premises'!$G$23:$G$32"
AppraisalFirmInfo,File Info,$C$324,'File Info'!$C$324
AppraisalFirmSectionShowHide,File Info,$H$321:$H$343,'File Info'!$H$321:$H$343
AppraisalPremiseQualifer,"Dates, Premises",$E$23:$E$32,"'Dates, Premises'!$E$23:$E$32"
AppraisalSummary,Appraisal Summary,$F$16:$L$56,'Appraisal Summary'!$F$16:$L$56
AppraisalSummary_Nav,Appraisal Summary,$B$10,'Appraisal Summary'!$B$10
AppraisalSummary_SendToRIMS,Appraisal Summary,$H$11,'Appraisal Summary'!$H$11
AppraisalSummary_ShowHideSource,Appraisal Summary,$B$13,'Appraisal Summary'!$B$13
AppraisalSummaryAsIsColumnAnchor,Appraisal Summary,$H$15,'Appraisal Summary'!$H$15
AppraisalSummaryAsIsORColumnAnchor,Appraisal Summary,$I$15,'Appraisal Summary'!$I$15
AppraisalSummaryAsIsSourceColumnAnchor,Appraisal Summary,$G$15,'Appraisal Summary'!$G$15
AppraisalSummaryAsStabilizedColumnAnchor,Appraisal Summary,$K$15,'Appraisal Summary'!$K$15
AppraisalSummaryAsStabilizedORColumnAnchor,Appraisal Summary,$L$15,'Appraisal Summary'!$L$15
AppraisalSummaryAsStabilizedSourceColumnAnchor,Appraisal Summary,$J$15,'Appraisal Summary'!$J$15
AppraisalSummaryDataPointColumnAnchor,Appraisal Summary,$F$15,'Appraisal Summary'!$F$15
AppraisalSummaryValidationPremises,Appraisal Summary,$F$12,'Appraisal Summary'!$F$12
AppraisedInterests,"Dates, Premises",$M$23:$M$32,"'Dates, Premises'!$M$23:$M$32"
Appraiser1_State,_xlfn.ANCHORARRAY(tblAppraisers,AE6,_xlfn.ANCHORARRAY(tblAppraisers!$AE$6)
Appraiser2_State,_xlfn.ANCHORARRAY(tblAppraisers,AF6,_xlfn.ANCHORARRAY(tblAppraisers!$AF$6)
Appraiser2InspectionShowHide,File Info,$S$503,'File Info'!$S$503
Appraiser2SignatureShowHide,File Info,$AO$535,'File Info'!$AO$535
Appraiser3_State,_xlfn.ANCHORARRAY(tblAppraisers,AG6,_xlfn.ANCHORARRAY(tblAppraisers!$AG$6)
Appraiser3InspectionShowHide,File Info,$S$504,'File Info'!$S$504
Appraiser3SignatureShowHide,File Info,$AQ$535,'File Info'!$AQ$535
