Sheet,Visibility,Hidden,Rows,Columns,Formula Count,Named Range Count
COA Map Year-4,visible,No,509,13,1503,0
Year-5 Input,visible,No,1132,68,4966,0
COA Map Year-5,visible,No,509,13,1503,0
Year-6 Input,visible,No,1132,68,4966,0
COA Map Year-6,visible,No,509,13,1503,0
YTD Input,visible,No,1227,68,4966,0
COA Map YTD,visible,No,509,13,1503,0
YTD Year-1 Input,visible,No,1250,68,4966,0
COA Map YTD Year-1,visible,No,509,13,1503,0
Budget Input,visible,No,1132,68,4967,0
COA Map Budget,visible,No,509,13,1503,0
ProForma,visible,No,712,433,88991,0
Expense Projections,visible,No,3837,63,34266,0
Capitalization and Multipliers,visible,No,1575,453,1254,0
Investor Survey Input,visible,No,43,25,80,0
Investor Survey Output,visible,No,316,367,438,0
tblInvestorSurvey,visible,No,6000,200,14696,0
Income-Expense Summary,visible,No,210,118,2229,0
CashFlow-Assumptions,visible,No,86,11,1,0
CashFlow-DCF,visible,No,167,19,162,0
CashFlow-Returns,visible,No,66,18,56,0
MarketSurvey API,visible,No,10874,111,11,0
MF Lease Up,visible,No,356,157,2075,0
Comm Lease Up,visible,No,76,89,957,0
DirectCapConclusion,visible,No,277,148,1018,0
DCF Assumptions,visible,No,282,150,682,0
DCF Proj1,visible,No,318,102,4953,0
DCF Proj2,visible,No,315,102,4964,0
DCF Proj3,visible,No,315,102,4964,0
DCF Rpv Proj1,visible,No,161,55,2033,0
DCF Rpv Proj2,visible,No,161,55,2034,0
DCF Rpv Proj3,visible,No,161,55,2034,0
Values,visible,No,137,43,398,0
Summary,visible,No,2436,128,1287,0
Value Allocation GC,visible,No,101,67,217,0
Appraisal Summary,visible,No,58,13,144,0
Salient Facts,visible,No,251,68,2273,0
tblSalientFacts,visible,No,3,1,0,0
tblSalientFactsAdditional,visible,No,2,1,1,0
HUD Form 92264,visible,No,848,265,2867,0
HUD Form 92273 Market,visible,No,861,50,7210,0
HUD Form 92273 Affordable,visible,No,861,50,7071,0
HUD Form 92273 - S8,visible,No,1124,27,6378,0
HUD Form 92274,visible,No,95,70,458,0
HUD Form 92264T,visible,No,17,11,0,0
Valuation,visible,No,162,18,394,0
Custom Table,visible,No,52,18,1,0
Custom User Sheet,visible,No,6,18,1,0
tblZoning,visible,No,3,1,0,0
tblTaxAssessment,visible,No,3,1,0,0
tblTaxGeneral,visible,No,3,1,0,0
Lists,visible,No,151,156,148,0
DBManagerConfig,visible,No,303,15,0,0
DBManagerFormart,visible,No,1,1,0,0
DBManagerSearchResult,visible,No,1,1,0,0
AE_DataExchange,visible,No,756,83,852,0
AE_PropertyAssets,visible,No,2,65,0,0
AE_MarketLeases,visible,No,2,63,0,0
AE_Leases,visible,No,2,91,0,0
AE_FreeRent,visible,No,2,16,0,0
AE_Inflation,visible,No,30,18,29,0
AE_TenantImprovements,visible,No,2,10,0,0
AE_GenVacCreditLoss,visible,No,2,16,0,0
AE_Expenses,visible,No,2,22,0,0
AE_PropertyResultLines,visible,No,2,10,0,0
AE_TenantResultLines,visible,No,2,11,0,0
Rpv_SearchResults,visible,No,6,11,0,0
Rpv_Property,visible,No,2,7,0,0
Rpv_MLA,visible,No,2,59,0,0
Rpv_RentRoll,visible,No,2,35,0,0
Rpv_InflationRates,visible,No,2,52,0,0
Rpv_Cashflow_Property,visible,No,2,12,0,0
Rpv_Cashflow_Tenant,visible,No,30,13,0,0
Rpv_Valuation,visible,No,2,16,0,0
Rpv_PresentValue,visible,No,2,12,0,0
Hospitals,visible,No,5201,14,7742,0
Airports,visible,No,373,20,0,0
ASHA_Regs,visible,No,54,57,159,0
tblLB_Import_Parcel,visible,No,8,47,0,0
tblLB_Import_Improvements,visible,No,8,134,0,0
tblLB_Import_Improvements_impro,visible,No,2,2,1,0
tblLB_Import_Zoning,visible,No,6,19,0,0
tblLB_Import_Zoning_zoningsubre,visible,No,2,2,1,0
tblLB_Import_Site,visible,No,8,87,0,0
tblLB_Import_Site_subparcels,visible,No,3,6,0,0
tblLB_Import_Sales,visible,No,10,131,0,0
tblLB_Import_Assessment,visible,No,7,52,0,0
tblLB_Import_Assessment_assessi,visible,No,3,20,2,0
tblLB_Import_IncExp,visible,No,2,1,0,0
tblLB_Import_UnitLeaseSummary,visible,No,8,70,0,0
tblLB_Import_UnitLease,visible,No,10,54,9,0
tblLB_Import_RentRollSummary,visible,No,2,1,0,0
tblLB_Import_RentRoll,visible,No,2,2,1,0
tblLB_Import_UDF,visible,No,48,3,0,0
tblLB_Import_Images,visible,No,23,9,0,0
Lightbox API Rent Roll,visible,No,381,333,11735,0
Linnaean API,visible,No,24,61,8,0
tblREITRates,visible,No,214,5,0,0
tblAppraisers,visible,No,1048576,43,55,0
GreenStreet API,visible,No,1556,82,6,0
OpenAI API,visible,No,299,92,107,0
Geography,visible,No,3145,34,4350,0
Property Types,visible,No,299,12,154,0
MasterTOC,visible,No,222,9,0,0
FileCloseActions,visible,No,1,1,0,0
File Bifurcate,visible,No,16,8,0,0
JobProgress,visible,No,103,43,1136,0
portfolioRR,visible,No,33,56,155,0
portfolioIE,visible,No,310,50,218,0
portfolioTaxHistory Comps,visible,No,43,22,42,0
tblFileConfig,visible,No,1031,61,1901,0
PartnerLists,visible,No,876,777,11959,0
Comp Prompt,visible,No,71,20,4,0
Lightbox API Config,visible,No,186,44,268,0
Lightbox API,visible,No,136,684,363,0
Lightbox API Enumerations,visible,No,1434,7,4,0
Lightbox API Dictionary,visible,No,911,21,947,0
Lightbox API UDF Dictionary,visible,No,283,14,282,0
Lightbox API Error Log,visible,No,1,4,0,0
Change Log,visible,No,4048,13,16,0
