Sheet,Visibility,Hidden,Rows,Columns,Formula Count,Named Range Count
Investor Survey Input,visible,No,43,25,80,0
Investor Survey Output,visible,No,316,367,438,0
tblInvestorSurvey,hidden,Yes,6000,200,14696,0
Income-Expense Summary,hidden,Yes,210,118,2229,0
CashFlow-Assumptions,hidden,Yes,86,11,1,0
CashFlow-DCF,hidden,Yes,167,19,162,0
CashFlow-Returns,hidden,Yes,66,18,56,0
MarketSurvey API,hidden,Yes,10874,111,11,0
MF Lease Up,visible,No,356,157,2075,0
Comm Lease Up,hidden,Yes,76,89,957,0
DirectCapConclusion,visible,No,277,148,1018,0
DCF Assumptions,hidden,Yes,282,150,682,0
DCF Proj1,hidden,Yes,318,102,4953,0
DCF Proj2,hidden,Yes,315,102,4964,0
DCF Proj3,hidden,Yes,315,102,4964,0
DCF Rpv Proj1,hidden,Yes,161,55,2033,0
DCF Rpv Proj2,hidden,Yes,161,55,2034,0
DCF Rpv Proj3,hidden,Yes,161,55,2034,0
Values,visible,No,137,43,398,0
Summary,visible,No,2436,128,1287,0
Value Allocation GC,hidden,Yes,101,67,217,0
Appraisal Summary,hidden,Yes,58,13,144,0
Salient Facts,visible,No,251,68,2273,0
tblSalientFacts,hidden,Yes,3,1,0,0
tblSalientFactsAdditional,hidden,Yes,2,1,1,0
HUD Form 92264,hidden,Yes,848,265,2867,0
HUD Form 92273 Market,hidden,Yes,861,50,7210,0
HUD Form 92273 Affordable,hidden,Yes,861,50,7071,0
HUD Form 92273 - S8,hidden,Yes,1124,27,6378,0
HUD Form 92274,hidden,Yes,95,70,458,0
HUD Form 92264T,hidden,Yes,17,11,0,0
Valuation,hidden,Yes,162,18,394,0
Custom Table,hidden,Yes,52,18,1,0
Custom User Sheet,hidden,Yes,6,18,1,0
tblZoning,hidden,Yes,3,1,0,0
tblTaxAssessment,hidden,Yes,3,1,0,0
tblTaxGeneral,hidden,Yes,3,1,0,0
Lists,hidden,Yes,151,156,148,0
DBManagerConfig,hidden,Yes,303,15,0,0
DBManagerFormart,hidden,Yes,1,1,0,0
DBManagerSearchResult,hidden,Yes,1,1,0,0
AE_DataExchange,hidden,Yes,756,83,852,0
AE_PropertyAssets,hidden,Yes,2,65,0,0
AE_MarketLeases,hidden,Yes,2,63,0,0
AE_Leases,hidden,Yes,2,91,0,0
AE_FreeRent,hidden,Yes,2,16,0,0
AE_Inflation,hidden,Yes,30,18,29,0
AE_TenantImprovements,hidden,Yes,2,10,0,0
AE_GenVacCreditLoss,hidden,Yes,2,16,0,0
AE_Expenses,hidden,Yes,2,22,0,0
AE_PropertyResultLines,hidden,Yes,2,10,0,0
AE_TenantResultLines,hidden,Yes,2,11,0,0
Rpv_SearchResults,hidden,Yes,6,11,0,0
Rpv_Property,hidden,Yes,2,7,0,0
Rpv_MLA,hidden,Yes,2,59,0,0
Rpv_RentRoll,hidden,Yes,2,35,0,0
Rpv_InflationRates,hidden,Yes,2,52,0,0
Rpv_Cashflow_Property,hidden,Yes,2,12,0,0
Rpv_Cashflow_Tenant,hidden,Yes,30,13,0,0
Rpv_Valuation,hidden,Yes,2,16,0,0
Rpv_PresentValue,hidden,Yes,2,12,0,0
Hospitals,hidden,Yes,5201,14,7742,0
Airports,hidden,Yes,373,20,0,0
ASHA_Regs,hidden,Yes,54,57,159,0
tblLB_Import_Parcel,hidden,Yes,8,47,0,0
tblLB_Import_Improvements,hidden,Yes,8,134,0,0
tblLB_Import_Improvements_impro,hidden,Yes,2,2,1,0
tblLB_Import_Zoning,hidden,Yes,6,19,0,0
tblLB_Import_Zoning_zoningsubre,hidden,Yes,2,2,1,0
tblLB_Import_Site,hidden,Yes,8,87,0,0
tblLB_Import_Site_subparcels,hidden,Yes,3,6,0,0
tblLB_Import_Sales,hidden,Yes,10,131,0,0
tblLB_Import_Assessment,hidden,Yes,7,52,0,0
tblLB_Import_Assessment_assessi,hidden,Yes,3,20,2,0
tblLB_Import_IncExp,hidden,Yes,2,1,0,0
tblLB_Import_UnitLeaseSummary,hidden,Yes,8,70,0,0
tblLB_Import_UnitLease,hidden,Yes,10,54,9,0
tblLB_Import_RentRollSummary,hidden,Yes,2,1,0,0
tblLB_Import_RentRoll,hidden,Yes,2,2,1,0
tblLB_Import_UDF,hidden,Yes,48,3,0,0
tblLB_Import_Images,hidden,Yes,23,9,0,0
Lightbox API Rent Roll,hidden,Yes,381,333,11735,0
Linnaean API,hidden,Yes,24,61,8,0
tblREITRates,hidden,Yes,214,5,0,0
tblAppraisers,hidden,Yes,1048576,43,55,0
GreenStreet API,hidden,Yes,1556,82,6,0
OpenAI API,hidden,Yes,299,92,107,0
Geography,hidden,Yes,3145,34,4350,0
Property Types,hidden,Yes,299,12,154,0
MasterTOC,hidden,Yes,222,9,0,0
FileCloseActions,hidden,Yes,1,1,0,0
File Bifurcate,hidden,Yes,16,8,0,0
JobProgress,veryHidden,Yes,103,43,1136,0
portfolioRR,hidden,Yes,33,56,155,0
portfolioIE,hidden,Yes,310,50,218,0
portfolioTaxHistory Comps,hidden,Yes,43,22,42,0
tblFileConfig,hidden,Yes,1031,61,1901,0
PartnerLists,hidden,Yes,876,777,11959,0
Comp Prompt,hidden,Yes,71,20,4,0
Lightbox API Config,hidden,Yes,186,44,268,0
Lightbox API,hidden,Yes,136,684,363,0
Lightbox API Enumerations,hidden,Yes,1434,7,4,0
Lightbox API Dictionary,hidden,Yes,911,21,947,0
Lightbox API UDF Dictionary,hidden,Yes,283,14,282,0
Lightbox API Error Log,hidden,Yes,1,4,0,0
Change Log,hidden,Yes,4048,13,16,0
