Sheet,Cell,Formula,Named Range
Improvements,AH162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AH$58,"""")",
Improvements,AI162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AI$58,"""")",
Improvements,AJ162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AJ$58,"""")",
Improvements,AK162,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AK$58,"""")",
Improvements,AB176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AB$58,"""")",
Improvements,AC176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AC$58,"""")",
Improvements,AD176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AD$58,"""")",
Improvements,AE176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AE$58,"""")",
Improvements,AF176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AF$58,"""")",
Improvements,AG176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AG$58,"""")",
Improvements,AH176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AH$58,"""")",
Improvements,AI176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AI$58,"""")",
Improvements,AJ176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AJ$58,"""")",
Improvements,AK176,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AK$58,"""")",
Improvements,AB193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AB$58,"""")",
Improvements,AC193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AC$58,"""")",
Improvements,AD193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AD$58,"""")",
Improvements,AE193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AE$58,"""")",
Improvements,AF193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AF$58,"""")",
Improvements,AG193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AG$58,"""")",
Improvements,AH193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AH$58,"""")",
Improvements,AI193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AI$58,"""")",
Improvements,AJ193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AJ$58,"""")",
Improvements,AK193,"=IF(AND(Improvements_NoOfBuildingsSummary>1,Z_Improvements_Foundation_ShowHide<>""Show""),AK$58,"""")",
Sales Grid,FW710,"=IF(SalesGrid_ShowHideCompSections<>0,SalesGrid_ShowHideCompSections,"""")&"" Property Type Characteristics""",
Sales Grid,FT711,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT712,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT713,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT714,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT715,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT716,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT717,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT718,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT719,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT720,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT721,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT722,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT723,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT724,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT725,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT726,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT727,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT728,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT729,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT730,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT731,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT732,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT733,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT734,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT735,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT736,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT737,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT738,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT739,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT740,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT741,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT742,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Multi-Family"",SalesGrid_ShowHideCompSections=""Senior Housing"",SalesGrid_ShowHideCompSections=""Lodging & Hospitality""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT743,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Multi-Family"",SalesGrid_ShowHideCompSections=""Senior Housing"",SalesGrid_ShowHideCompSections=""Lodging & Hospitality""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT816,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT817,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT818,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT819,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT820,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT821,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT822,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT823,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT824,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT825,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT826,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT827,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT828,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT829,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT830,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT831,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT832,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT833,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT834,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT835,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT836,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT837,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT838,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT839,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT840,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT841,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT842,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT843,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT844,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT845,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT846,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT921,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT922,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT923,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT924,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT925,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT926,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT927,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT928,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT929,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT930,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT931,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT932,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT933,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT934,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT935,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT936,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT937,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT938,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT939,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT940,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT941,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT942,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT943,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT944,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT945,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT946,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT947,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT948,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT949,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT950,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT951,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT1026,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1027,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1028,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1029,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1030,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1031,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1032,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1033,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1034,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1035,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1036,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1037,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1038,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1039,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1040,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1041,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1042,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1043,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1044,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT1045,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT1046,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT1047,"=IF(SalesGrid_ShowHideCompSections=""Multi-Family"",""Show"",""Hide"")",
Sales Grid,FT1048,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1049,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1050,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1051,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1052,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1053,"=IF(SalesGrid_ShowHideCompSections=""Senior Housing"",""Show"",""Hide"")",
Sales Grid,FT1054,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT1055,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT1056,"=IF(SalesGrid_ShowHideCompSections=""Lodging & Hospitality"",""Show"",""Hide"")",
Sales Grid,FT1131,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1132,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1133,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1134,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1135,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1136,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Office"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1137,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1138,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1139,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1140,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1141,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1142,"=IFERROR(IF(OR(SalesGrid_ShowHideCompSections=""Retail-Commercial"",SalesGrid_ShowHideCompSections=""Shopping Center""),""Show"",""Hide""),""Hide"")",
Sales Grid,FT1143,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1144,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1145,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1146,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1147,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
Sales Grid,FT1148,"=IF(OR(SalesGrid_ShowHideCompSections=""Industrial"",N1PropertyType=""Office/Warehouse""),""Show"",""Hide"")",
